lane,control_or_primary,k,mean_bin_purity,discrimination_ratio,bootstrap_ci_low,bootstrap_ci_high
within_beta,PRIMARY,3,0.347222222222,1.041666666667,0.302083333333,0.392361111111
within_beta,PRIMARY,5,0.329166666667,0.9875,0.29375,0.366666666667
within_beta,PRIMARY,10,0.319791666667,0.959375,0.294791666667,0.341666666667
across_beta,PRIMARY,3,0.340277777778,1.020833333333,0.284722222222,0.395833333333
across_beta,PRIMARY,5,0.320833333333,0.9625,0.283333333333,0.360416666667
across_beta,PRIMARY,10,0.330208333333,0.990625,0.307291666667,0.355208333333
within_beta,CTRL_META,3,0.3125,0.9375,0.260416666667,0.364583333333
within_beta,CTRL_META,5,0.308333333333,0.925,0.275,0.339583333333
within_beta,CTRL_META,10,0.316666666667,0.95,0.294791666667,0.336458333333
across_beta,CTRL_META,3,0.357638888889,1.072916666667,0.291579861111,0.423611111111
across_beta,CTRL_META,5,0.341666666667,1.025,0.295833333333,0.391666666667
across_beta,CTRL_META,10,0.334375,1.003125,0.311458333333,0.358333333333
within_beta,CTRL_RAW,3,0.243055555556,0.729166666667,0.197916666667,0.291753472222
within_beta,CTRL_RAW,5,0.26875,0.80625,0.235416666667,0.30625
within_beta,CTRL_RAW,10,0.286458333333,0.859375,0.2625,0.311458333333
across_beta,CTRL_RAW,3,0.326388888889,0.979166666667,0.277777777778,0.378472222222
across_beta,CTRL_RAW,5,0.325,0.975,0.285416666667,0.364635416667
across_beta,CTRL_RAW,10,0.336458333333,1.009375,0.30828125,0.365625
within_beta,CTRL_RAND,3,0.315972222222,0.947916666667,0.267361111111,0.364670138889
within_beta,CTRL_RAND,5,0.302083333333,0.90625,0.266666666667,0.337552083333
within_beta,CTRL_RAND,10,0.325,0.975,0.301041666667,0.348984375
across_beta,CTRL_RAND,3,0.309027777778,0.927083333333,0.256944444444,0.364583333333
across_beta,CTRL_RAND,5,0.308333333333,0.925,0.26875,0.352083333333
across_beta,CTRL_RAND,10,0.3,0.9,0.26875,0.332291666667
within_beta,CTRL_RAND_STRAT,3,0.309027777778,0.927083333333,0.25,0.364583333333
within_beta,CTRL_RAND_STRAT,5,0.297916666667,0.89375,0.25828125,0.341666666667
within_beta,CTRL_RAND_STRAT,10,0.303125,0.909375,0.277083333333,0.329166666667
across_beta,CTRL_RAND_STRAT,3,0.347222222222,1.041666666667,0.295138888889,0.406336805556
across_beta,CTRL_RAND_STRAT,5,0.3625,1.0875,0.322864583333,0.4
across_beta,CTRL_RAND_STRAT,10,0.360416666667,1.08125,0.333307291667,0.390625
within_beta,CTRL_GAUGE_RAND,3,0.347222222222,1.041666666667,0.305555555556,0.392361111111
within_beta,CTRL_GAUGE_RAND,5,0.329166666667,0.9875,0.29375,0.3625
within_beta,CTRL_GAUGE_RAND,10,0.319791666667,0.959375,0.297916666667,0.34375
across_beta,CTRL_GAUGE_RAND,3,0.340277777778,1.020833333333,0.284635416667,0.399305555556
across_beta,CTRL_GAUGE_RAND,5,0.320833333333,0.9625,0.283333333333,0.35625
across_beta,CTRL_GAUGE_RAND,10,0.330208333333,0.990625,0.307291666667,0.355208333333
within_beta,CTRL_PERM,3,0.312618055556,0.937854166667,0.3111109375,0.314215972222
within_beta,CTRL_PERM,5,0.312714583333,0.93814375,0.311707916667,0.313729947917
within_beta,CTRL_PERM,10,0.312992708333,0.938978125,0.312272864583,0.313672005208
across_beta,CTRL_PERM,3,0.325579861111,0.976739583333,0.323846788194,0.327212152778
across_beta,CTRL_PERM,5,0.324935416667,0.97480625,0.323487395833,0.32633375
across_beta,CTRL_PERM,10,0.325114583333,0.97534375,0.324230182292,0.325992916667
