config_idx,W14_mean,W23_mean,W33_mean,gamma_held,clamped
0,0.088230100739,0.023375387564,-0.001404008152,4.30147595116,1
1,0.086908248449,0.026768049042,0.004999397766,0.570174735132,0
2,0.073196798896,0.039068594974,-0.000043867489,4.280582788892,1
3,0.080107094876,0.01600600702,0.006467633032,0.487421932496,0
4,0.090652033466,0.026382381121,0.016563597991,0.325374627002,0
5,0.087856887637,0.025575538869,-0.003195306783,4.303062265422,1
6,0.076884821014,0.019230827815,0.002555407098,0.680183724909,0
7,0.079083813065,0.03107864379,0.010911955722,0.392400159116,0
8,0.07861524036,0.020149589561,0.000094841439,1.378935097132,0
9,0.097510633108,0.023490982728,0.000621762024,1.026787618541,0
10,0.070929258576,0.032813287684,0.00984636346,0.395415714232,0
11,0.0612647064,0.021344468979,0.008124383385,0.397585827447,0
12,0.092274961355,0.034836100764,0.016918367211,0.331496453845,0
13,0.081428806697,0.020050021243,0.002082061358,0.734985957843,0
14,0.082470651947,0.019362462171,0.006394298201,0.500188953356,0
15,0.08317843469,0.020972005002,-0.011730965348,4.28775974925,1
16,0.08288054911,0.026217485196,0.012265854332,0.371938808901,0
17,0.081964749073,0.022866661038,0.003410628449,0.635750849902,0
18,0.086958855725,0.024602666988,-0.001479096847,4.300149095987,1
19,0.078089641529,0.02031444855,0.007000344124,0.472333153606,0
20,0.084595581756,0.029237329423,-0.001718802463,4.299615415431,1
21,0.081323988389,0.023125052975,0.01489677729,0.324232752736,0
22,0.082484718335,0.025331915855,0.006312344234,0.510007880419,0
23,0.08186984402,0.02331194689,-0.000043871431,4.287622268581,1
24,0.085446989463,0.023479418343,0.001347238692,0.839656336566,0
25,0.074714729647,0.030581475888,0.006241446066,0.499116844318,0
26,0.074769020781,0.027377181818,0.013966269159,0.326773019534,0
27,0.079790183048,0.013960918781,0.007418085355,0.454228878115,0
28,0.072703654639,0.029523262237,0.005505347394,0.519583186588,0
29,0.086552271728,0.027389901114,0.003743805587,0.630910342883,0
30,0.069246513554,0.02048289677,0.004241656558,0.5558860183,0
31,0.078801933628,0.024841623439,0.004909931865,0.553973758857,0
