config_idx,W14_mean,W23_mean,W33_mean,gamma_held,clamped
0,0.536644300712,0.400045022694,0.260918698047,0.144085649744,0
1,0.532906655759,0.426995082704,0.298821569927,0.115958508852,0
2,0.553669847307,0.437793520532,0.321904443616,0.107991826416,0
3,0.526924780207,0.430685626425,0.310597672897,0.10596830831,0
4,0.527167965831,0.419605051846,0.312048073984,0.104386588733,0
5,0.538104616739,0.440230221163,0.315904113938,0.106846288107,0
6,0.546449512116,0.455339142129,0.355272383124,0.085843625534,0
7,0.534819374064,0.434507449763,0.318554680708,0.103614827669,0
8,0.545406427261,0.429620260202,0.298527512154,0.120597992465,0
9,0.541767038041,0.439144414304,0.317247917941,0.107137173699,0
10,0.566444220324,0.47701456536,0.36715904362,0.086758852236,0
11,0.530412763407,0.430691216414,0.317045278159,0.102858503644,0
12,0.545118442227,0.450512215683,0.33476772385,0.097629248121,0
13,0.551247322647,0.442742031001,0.335209717319,0.098953194851,0
14,0.531346203322,0.433336003033,0.323011637711,0.099418503728,0
15,0.512635634126,0.405740075251,0.291601495703,0.112620131741,0
16,0.55379543881,0.455396979879,0.346883772345,0.093337340867,0
17,0.56418675896,0.471610988087,0.347658263177,0.097212942518,0
18,0.53676113544,0.421573320203,0.292694532821,0.12131131238,0
19,0.563755743702,0.450407935349,0.332920144049,0.104981053175,0
20,0.535426119714,0.43084677802,0.309680901577,0.109548778685,0
21,0.533512709614,0.440652239101,0.329749544994,0.096262340834,0
22,0.532004951099,0.411786972912,0.294175109189,0.117991424593,0
23,0.544161802639,0.442479126708,0.33148247122,0.098908428453,0
24,0.524285473562,0.417630584361,0.28415635462,0.12296459351,0
25,0.554232443595,0.450444094897,0.334673876557,0.10073870366,0
26,0.592806074497,0.490603351799,0.385329038578,0.085708586623,0
27,0.56346902997,0.474289484515,0.363273718811,0.087877676148,0
28,0.549862594205,0.44227596313,0.341972449438,0.09425714614,0
29,0.529730522342,0.417734279259,0.310645039709,0.106110980665,0
30,0.548143132777,0.449285138616,0.356533995043,0.085315160592,0
31,0.578339987871,0.497811444498,0.394384677615,0.076651067718,0
