lane,control_or_primary,k,mean_bin_purity,discrimination_ratio,bootstrap_ci_low,bootstrap_ci_high
within_beta,PRIMARY,3,0.340277777778,1.020833333333,0.288194444444,0.399305555556
within_beta,PRIMARY,5,0.310416666667,0.93125,0.26875,0.34796875
within_beta,PRIMARY,10,0.3125,0.9375,0.283307291667,0.341666666667
across_beta,PRIMARY,3,0.416666666667,1.25,0.354166666667,0.479166666667
across_beta,PRIMARY,5,0.425,1.275,0.372916666667,0.477083333333
across_beta,PRIMARY,10,0.390625,1.171875,0.353125,0.428125
within_beta,CTRL_META,3,0.3125,0.9375,0.267361111111,0.361197916667
within_beta,CTRL_META,5,0.314583333333,0.94375,0.279166666667,0.345833333333
within_beta,CTRL_META,10,0.309375,0.928125,0.2875,0.333333333333
across_beta,CTRL_META,3,0.385416666667,1.15625,0.322916666667,0.451388888889
across_beta,CTRL_META,5,0.370833333333,1.1125,0.33125,0.406302083333
across_beta,CTRL_META,10,0.378125,1.134375,0.344791666667,0.409375
within_beta,CTRL_RAW,3,0.288194444444,0.864583333333,0.243055555556,0.333333333333
within_beta,CTRL_RAW,5,0.297916666667,0.89375,0.264583333333,0.333333333333
within_beta,CTRL_RAW,10,0.292708333333,0.878125,0.271875,0.3125
across_beta,CTRL_RAW,3,0.371527777778,1.114583333333,0.319444444444,0.427083333333
across_beta,CTRL_RAW,5,0.333333333333,1,0.289583333333,0.38125
across_beta,CTRL_RAW,10,0.361458333333,1.084375,0.336432291667,0.388541666667
within_beta,CTRL_RAND,3,0.302083333333,0.90625,0.25,0.350694444444
within_beta,CTRL_RAND,5,0.3,0.9,0.260416666667,0.343802083333
within_beta,CTRL_RAND,10,0.326041666667,0.978125,0.304166666667,0.346875
across_beta,CTRL_RAND,3,0.326388888889,0.979166666667,0.277777777778,0.378472222222
across_beta,CTRL_RAND,5,0.3,0.9,0.26453125,0.337552083333
across_beta,CTRL_RAND,10,0.301041666667,0.903125,0.271848958333,0.329192708333
within_beta,CTRL_RAND_STRAT,3,0.309027777778,0.927083333333,0.256944444444,0.364583333333
within_beta,CTRL_RAND_STRAT,5,0.310416666667,0.93125,0.275,0.352083333333
within_beta,CTRL_RAND_STRAT,10,0.314583333333,0.94375,0.291666666667,0.338541666667
across_beta,CTRL_RAND_STRAT,3,0.34375,1.03125,0.28125,0.402777777778
across_beta,CTRL_RAND_STRAT,5,0.354166666667,1.0625,0.304166666667,0.402083333333
across_beta,CTRL_RAND_STRAT,10,0.38125,1.14375,0.345833333333,0.418776041667
within_beta,CTRL_GAUGE_RAND,3,0.340277777778,1.020833333333,0.284722222222,0.399305555556
within_beta,CTRL_GAUGE_RAND,5,0.310416666667,0.93125,0.272864583333,0.352135416667
within_beta,CTRL_GAUGE_RAND,10,0.3125,0.9375,0.283333333333,0.341666666667
across_beta,CTRL_GAUGE_RAND,3,0.416666666667,1.25,0.354166666667,0.479166666667
across_beta,CTRL_GAUGE_RAND,5,0.425,1.275,0.374947916667,0.475052083333
across_beta,CTRL_GAUGE_RAND,10,0.390625,1.171875,0.352057291667,0.428151041667
within_beta,CTRL_PERM,3,0.263888888889,0.791666666667,0.21875,0.309027777778
within_beta,CTRL_PERM,5,0.279166666667,0.8375,0.241666666667,0.31875
within_beta,CTRL_PERM,10,0.292708333333,0.878125,0.26875,0.315625
across_beta,CTRL_PERM,3,0.347222222222,1.041666666667,0.288194444444,0.399305555556
across_beta,CTRL_PERM,5,0.322916666667,0.96875,0.28125,0.36875
across_beta,CTRL_PERM,10,0.3125,0.9375,0.285416666667,0.340625
