sweep_index,xy,xz,yz
0,0.468830638962,0.453487270242,0.46713687202
1,0.462627905837,0.45436012158,0.45129901938
2,0.449914376005,0.459406611039,0.467546816392
3,0.432918089237,0.450361142735,0.460884778854
4,0.434344748654,0.46352018877,0.454016693495
5,0.444241700119,0.452304650665,0.451748981373
6,0.450870312826,0.439990149302,0.451966537213
7,0.470090348105,0.468593666674,0.47540356622
8,0.463868775291,0.448534971754,0.455558165996
9,0.451548339432,0.449990154429,0.455619860362
10,0.462899678377,0.442689415019,0.459463883737
11,0.455682032541,0.445585594727,0.449751853729
12,0.465259499411,0.459384466852,0.460266967568
13,0.458819153751,0.458086507052,0.443129360958
14,0.440612613994,0.446252141904,0.456958624557
15,0.455006843509,0.460095748783,0.469279576501
16,0.468525497775,0.446322423463,0.453939098506
17,0.47212967716,0.450747690592,0.450678367256
18,0.465420369765,0.453266130316,0.454215336159
19,0.438435772725,0.460124236368,0.448153882483
20,0.462643530557,0.451988731579,0.47046719393
21,0.465341911399,0.456510805801,0.467801336433
22,0.476304137707,0.453262644982,0.461469346598
23,0.4605024734,0.460131647166,0.45714694742
24,0.445793024029,0.468243129239,0.450854835964
25,0.435918916364,0.454146011588,0.449189771256
26,0.46194776328,0.458809891517,0.456307919669
27,0.431103131597,0.475937045373,0.446205518306
28,0.446881309962,0.453831457471,0.45170751172
29,0.442562912844,0.441184589004,0.450934936265
30,0.457922876852,0.456912204292,0.457684440593
31,0.452497618827,0.445022423894,0.464034107835
32,0.459957893468,0.457461822028,0.422876195567
33,0.452557626919,0.459822440799,0.446562224199
34,0.440927696676,0.440548520909,0.455535251632
35,0.460976429556,0.455815653668,0.457997647586
36,0.45344601459,0.459876682488,0.467541873034
37,0.468207386433,0.462937709444,0.462796103834
38,0.474395005014,0.461309881402,0.46252961054
39,0.465236481071,0.450025396747,0.446030422372
40,0.459350383025,0.468890583167,0.444354942002
41,0.460701048021,0.440450697895,0.467606335939
42,0.454405141565,0.454794272681,0.442914573476
43,0.451872799359,0.442318558583,0.456485010761
44,0.437266770627,0.460002404192,0.454523908619
45,0.448712407936,0.45740084669,0.468016420353
46,0.464943706807,0.483490235929,0.459127957286
47,0.463332234138,0.467391775014,0.454178252072
48,0.474203804109,0.462334325228,0.461728846318
49,0.46569214198,0.4735018351,0.469710075719
50,0.461771311154,0.467168520775,0.448084477834
51,0.459200472101,0.458037534144,0.444811680701
52,0.450136582008,0.459966421011,0.456436449121
53,0.461333703316,0.446368873295,0.456649728732
54,0.464493800606,0.445125873468,0.434930487785
55,0.454837318845,0.44354427672,0.442989236077
56,0.415427715682,0.453465035533,0.450754990477
57,0.439263731907,0.452688204791,0.460015790552
58,0.466996429352,0.469016260071,0.466315495979
59,0.44895355014,0.451358658095,0.467681557105
60,0.465258443469,0.451608934856,0.468819002248
61,0.461275910338,0.46987895344,0.464926385705
62,0.456507611924,0.459355679385,0.454518637755
63,0.455618025551,0.449087426528,0.46402630725
64,0.450209663831,0.455583230189,0.448877701467
65,0.468379447094,0.451305124286,0.458997604055
66,0.455671168733,0.4681763406,0.444221106947
67,0.45572150809,0.456761710655,0.455811232921
68,0.448180192652,0.454218778084,0.45940203445
69,0.454690612537,0.447031874323,0.450243918841
70,0.451824467551,0.437695129892,0.445264259631
71,0.457743989965,0.461800473909,0.457959995718
72,0.431149458586,0.447895854573,0.456295301945
73,0.44939423499,0.457545098118,0.452639981551
74,0.478768169359,0.448570605835,0.448197665716
75,0.45523295135,0.478162952071,0.448810412532
76,0.435222557256,0.472552081699,0.469991899628
77,0.464232976784,0.431166954019,0.444914722606
78,0.466531074301,0.448828289291,0.447537699638
79,0.457741589685,0.45093587337,0.449839556441
80,0.458623708199,0.468124498845,0.452630126089
81,0.449986677162,0.444844432033,0.455519305617
82,0.444942375968,0.435415489114,0.440440402195
83,0.442605335392,0.441249377983,0.452605155126
84,0.447253074276,0.45816904733,0.468989014904
85,0.440437217742,0.464876090306,0.447797141077
86,0.469142395793,0.457840905521,0.463450977006
87,0.463520237414,0.454502841744,0.45005817963
88,0.450710442741,0.456846750546,0.455507468872
89,0.468821595471,0.451081083799,0.461799493308
90,0.439645840963,0.43701668482,0.459441158439
91,0.464055568028,0.441074591937,0.46349320867
92,0.461664755598,0.470805615914,0.460765898182
93,0.447947328993,0.46368220044,0.467752210549
94,0.435503961293,0.458703063214,0.444828349467
95,0.452539667875,0.449794903596,0.451798212795
96,0.45145724566,0.455402882586,0.439021137784
97,0.446916385185,0.464955823941,0.45724342997
98,0.449279650084,0.457118511532,0.445751359218
99,0.466295132035,0.452319744725,0.440735137074
100,0.471537084918,0.46257065511,0.442933960045
101,0.481589357272,0.442334273485,0.453718474908
102,0.458706403295,0.451976309182,0.46705615898
103,0.449080445836,0.46578759822,0.45677633035
104,0.455706623384,0.447763124938,0.457079133414
105,0.465874032096,0.453470079125,0.471781221471
106,0.457835581235,0.469282871098,0.45591108957
107,0.452295300502,0.45754503944,0.457967993647
108,0.452724095928,0.452242869293,0.449026727072
109,0.469211642191,0.459912976745,0.430567900462
110,0.42730463278,0.458028746219,0.442826610092
111,0.448946481855,0.441843655422,0.460640065564
112,0.449337107326,0.461275561396,0.45657237553
113,0.466254763405,0.450025610786,0.473497848719
114,0.446150415948,0.455432670004,0.44503569569
115,0.464231876326,0.469214150375,0.455477630191
116,0.457442311229,0.448540831616,0.459614712584
117,0.454898485406,0.458420823975,0.487959156537
118,0.457306680725,0.448296973067,0.453691790901
119,0.450118829519,0.456137781115,0.463317687665
120,0.436132918838,0.454382864196,0.452064206742
121,0.459960037953,0.452851490709,0.460645404427
122,0.453100044915,0.455982540822,0.450160591495
123,0.450336987585,0.452362357985,0.455170812416
124,0.472979429279,0.452026631245,0.450315645131
125,0.450837760277,0.459727999946,0.4432727115
126,0.447380468942,0.468323041209,0.43129737254
127,0.471266770039,0.477739372835,0.462923739901
128,0.447169901652,0.464385493179,0.448974957485
129,0.446020032664,0.45490313819,0.446101055836
130,0.455119507112,0.455873115043,0.458264514005
131,0.443507123312,0.472663513423,0.467731335619
132,0.452727397387,0.448999623574,0.454310486172
133,0.458336855277,0.466950404365,0.462488977412
134,0.44052468877,0.457042469466,0.456968846929
135,0.452432251446,0.459429056736,0.461035361283
136,0.450663796201,0.446078279878,0.459533195512
137,0.452156076696,0.460440399083,0.451869874467
138,0.451872265009,0.457880666484,0.461310378822
139,0.459278289784,0.460664128196,0.443665745511
140,0.463497453766,0.442835091259,0.448992888846
141,0.482255693579,0.459056921827,0.456546465552
142,0.455206943681,0.460811650102,0.455388123419
143,0.444191154281,0.467876996319,0.464516509768
144,0.453805368282,0.457895511861,0.450831817847
145,0.459330605121,0.455156051938,0.478267011663
146,0.457915692806,0.466478366213,0.45968932004
147,0.45135507051,0.451162000477,0.459080330193
148,0.438730425446,0.449426177749,0.442166627015
149,0.463739418322,0.479305081302,0.444682606849
150,0.461349618064,0.449396521152,0.465412562646
151,0.471344932983,0.458879389068,0.449569193733
152,0.459876729488,0.438631254509,0.473690277701
153,0.446206258145,0.464539293061,0.456434350116
154,0.467150537799,0.475904370119,0.450034126118
155,0.448018798828,0.461986522593,0.455225002873
156,0.466607786272,0.452418573531,0.457927982013
157,0.449514283983,0.46397796488,0.468460699688
158,0.461357079416,0.444591739629,0.460534760893
159,0.469964593252,0.455657234896,0.46580728279
160,0.455687592471,0.452684544601,0.470301763443
161,0.465613214893,0.462681127108,0.476877212344
162,0.46122093169,0.462033006808,0.456899040029
163,0.462912686775,0.465166380305,0.445625594905
164,0.45867285706,0.449368888118,0.449458811621
165,0.453857270485,0.464784245538,0.451975890806
166,0.467555662046,0.437243879562,0.458162474061
167,0.457274175472,0.446779375471,0.461547073256
168,0.460849623381,0.458017338175,0.466525353422
169,0.45137248398,0.460943198466,0.454445612241
170,0.454264801023,0.471740774774,0.442745203224
171,0.457924667334,0.457377522891,0.460045204956
172,0.449571595874,0.456110156767,0.456878071211
173,0.453694048559,0.472979087268,0.440590530988
174,0.436477082503,0.448274034282,0.453134264748
175,0.446739991925,0.45419827062,0.448843276457
176,0.458104423547,0.462962014447,0.456458633293
177,0.461001576059,0.471017526394,0.454001803421
178,0.469615058858,0.453642762888,0.460378477176
179,0.466371786025,0.44744631461,0.451041735917
180,0.452885569252,0.439561515066,0.433905474484
181,0.472130190197,0.449444458628,0.454344070393
182,0.465454744599,0.445817112144,0.458859768956
183,0.465528406619,0.445707557757,0.46265616679
184,0.45683755804,0.438200610249,0.461046763949
185,0.435984909988,0.453918359678,0.445252226519
186,0.442532105273,0.437438472237,0.457807065802
187,0.464016253316,0.447951150345,0.460458512801
188,0.457830987305,0.450668998723,0.457256002142
189,0.445509343888,0.445142450597,0.461633261091
190,0.456476712082,0.442062354006,0.45735074988
191,0.457048734414,0.44926481126,0.457080332456
192,0.451129884336,0.439705588106,0.447220206114
193,0.4528957308,0.453079591648,0.46691842256
194,0.462268773304,0.454882599384,0.461580093088
195,0.453299755685,0.453842118953,0.451445459662
196,0.472441976766,0.464231345308,0.440923023735
197,0.46263141495,0.463376200989,0.447877035398
198,0.441913475559,0.455902885479,0.443494234391
199,0.45670942733,0.450599472518,0.449261695626
200,0.453280010852,0.440539575981,0.467305697692
201,0.44689751311,0.467337761926,0.45767221672
202,0.456906823446,0.456346086064,0.454884412012
203,0.441543304746,0.463434825183,0.482111947295
204,0.44547707916,0.461891593229,0.45017736861
205,0.459770279023,0.465053755542,0.45818227777
206,0.445030480818,0.452600484357,0.467655949875
207,0.477067286759,0.470451054312,0.473190095857
208,0.455024936568,0.455819265328,0.459453111877
209,0.44393002669,0.457385875354,0.436711641404
210,0.46025933286,0.445971180987,0.437149228932
211,0.445342548299,0.466985911809,0.464509943514
212,0.446921004072,0.448784387691,0.449736409903
213,0.457574254623,0.460677039767,0.464766017875
214,0.460807354042,0.451556618478,0.461249976183
215,0.467834814039,0.452691144621,0.453847197629
216,0.45518877754,0.448755644469,0.442783504051
217,0.451761934266,0.443714947975,0.454494982831
218,0.449734184906,0.447391849391,0.45626985443
219,0.456947435481,0.450129402638,0.464072273767
220,0.457602531573,0.459716379431,0.460894715019
221,0.4408236189,0.44594639415,0.444957555713
222,0.446866825096,0.469414033655,0.435070919449
223,0.45543006805,0.44184083821,0.450504663733
224,0.455904331818,0.457112033974,0.461778234526
225,0.454144638325,0.462309472015,0.444979058376
226,0.459392664335,0.447071398745,0.449940436827
227,0.450667243146,0.444202719279,0.451318637839
228,0.453867482247,0.467065627693,0.461701088618
229,0.454087214159,0.466830189208,0.46505245399
230,0.462950372499,0.45187197734,0.466062395731
