sample_i,sample_j,signature_distance,high_mode_distance,high_distance_over_delta_h,sample_i_high_norm,sample_j_high_norm,action_i,action_j,action_agree
0,42463,0.025317339946069262,0.011793348048494186,1.0108543176969433,0.22129127192689965,0.22150588634225238,0,0,True
0,33168,0.027352252261718966,0.013889808844951708,1.1905502309581522,0.22129127192689965,0.22147688815938354,0,0,True
0,26534,0.029188339386740952,0.014602461058814386,1.2516344594942002,0.22129127192689965,0.22213869004810355,0,0,True
0,1986,0.03190371006122197,0.01613599425316869,1.3830796304897741,0.22129127192689965,0.2214690845223169,0,0,True
0,39802,0.03240123783617882,0.014553812892283743,1.2474646335055726,0.22129127192689965,0.22093831629347194,0,0,True
0,4648,0.03290366242703582,0.01658530239251246,1.4215916010315084,0.22129127192689965,0.22066995070148143,0,0,True
0,35829,0.03455813098123067,0.013672760890280451,1.171946195766064,0.22129127192689965,0.22217325794810594,0,0,True
0,29196,0.03644542724968061,0.01835454939931495,1.5732407314179424,0.22129127192689965,0.22113213532685846,0,0,True
0,31181,0.036567238347272366,0.012483319245685208,1.069994466948803,0.22129127192689965,0.22320589008341654,0,0,True
0,35830,0.0367636564088512,0.018693336225195728,1.6022794848162323,0.22129127192689965,0.22067497151212184,0,0,True
0,1,0.0367832413013099,0.012938005420631322,1.1089674101072196,0.22129127192689965,0.22028125438500368,0,0,True
0,19900,0.03683410251234529,0.016535267859368537,1.417302944099269,0.22129127192689965,0.22290986966378204,0,0,True
0,8620,0.03688968665172548,0.016775150918711543,1.4378642660650185,0.22129127192689965,0.22093219449708285,0,0,True
0,31183,0.03734211915725193,0.014033301690897367,1.2028495680324374,0.22129127192689965,0.22028367955637446,0,0,True
0,11282,0.039565193060889285,0.018130901689404365,1.5540710052064772,0.22129127192689965,0.22035643111753825,0,0,True
0,33169,0.03979440522146516,0.012958304609186446,1.1107073335210216,0.22129127192689965,0.22034815881485573,0,0,True
0,46435,0.040745190811709825,0.020966926939999964,1.7971579011306724,0.22129127192689965,0.2219002296808814,0,0,True
0,22562,0.04154525304307034,0.019108569724327697,1.6378707837182904,0.22129127192689965,0.2217201231361073,0,0,True
0,46436,0.04189845962195409,0.01638762822758371,1.4046481696756536,0.22129127192689965,0.22053503574055433,0,0,True
0,42464,0.04233719005851572,0.020004252983039313,1.7146433241058447,0.22129127192689965,0.22035954988626927,0,0,True
0,1987,0.0427878472608869,0.014481876822440766,1.2412987095881312,0.22129127192689965,0.22034513397179173,0,0,True
0,19902,0.04289749414805602,0.013089356994190436,1.121940349682423,0.22129127192689965,0.22022701313033982,0,0,True
0,39801,0.04373184811186059,0.02190705116557156,1.8777396518500438,0.22129127192689965,0.2226358117375913,0,0,True
0,11280,0.04460753731114321,0.014120978508186305,1.210364693419563,0.22129127192689965,0.22350147700123849,0,0,True
0,15253,0.04509021772078016,0.023173597707883454,1.9863003451828913,0.22129127192689965,0.22189140768689486,0,0,True
0,15254,0.04589604861566347,0.018441596785733243,1.5807019058056855,0.22129127192689965,0.22053074004437542,0,0,True
