config_idx,transform_id,max_abs_signature_residual
20,random_4,2.775557561563e-16
20,random_5,3.330669073875e-16
20,random_6,1.665334536938e-16
20,random_7,1.942890293094e-16
21,identity,0
21,random_0,2.220446049250e-16
21,random_1,4.440892098501e-16
21,random_2,3.885780586188e-16
21,random_3,4.440892098501e-16
21,random_4,2.775557561563e-16
21,random_5,3.885780586188e-16
21,random_6,2.775557561563e-16
21,random_7,3.885780586188e-16
22,identity,0
22,random_0,2.775557561563e-16
22,random_1,2.775557561563e-16
22,random_2,1.665334536938e-16
22,random_3,2.220446049250e-16
22,random_4,1.942890293094e-16
22,random_5,1.665334536938e-16
22,random_6,2.220446049250e-16
22,random_7,2.775557561563e-16
23,identity,0
23,random_0,3.330669073875e-16
23,random_1,3.330669073875e-16
23,random_2,3.885780586188e-16
23,random_3,3.885780586188e-16
23,random_4,4.440892098501e-16
23,random_5,3.330669073875e-16
23,random_6,3.885780586188e-16
23,random_7,4.440892098501e-16
24,identity,0
24,random_0,3.885780586188e-16
24,random_1,3.330669073875e-16
24,random_2,2.775557561563e-16
24,random_3,3.330669073875e-16
24,random_4,2.775557561563e-16
24,random_5,2.220446049250e-16
24,random_6,4.440892098501e-16
24,random_7,2.775557561563e-16
25,identity,0
25,random_0,2.220446049250e-16
25,random_1,2.220446049250e-16
25,random_2,3.330669073875e-16
25,random_3,2.220446049250e-16
25,random_4,2.220446049250e-16
25,random_5,2.775557561563e-16
25,random_6,2.220446049250e-16
25,random_7,1.249000902703e-16
26,identity,0
26,random_0,2.220446049250e-16
26,random_1,4.440892098501e-16
26,random_2,3.885780586188e-16
26,random_3,4.440892098501e-16
26,random_4,6.661338147751e-16
26,random_5,4.440892098501e-16
26,random_6,4.996003610813e-16
26,random_7,2.775557561563e-16
27,identity,0
27,random_0,4.440892098501e-16
27,random_1,2.775557561563e-16
27,random_2,2.775557561563e-16
27,random_3,3.885780586188e-16
27,random_4,3.330669073875e-16
27,random_5,3.330669073875e-16
27,random_6,3.330669073875e-16
27,random_7,3.330669073875e-16
28,identity,0
28,random_0,2.775557561563e-16
28,random_1,2.220446049250e-16
28,random_2,3.330669073875e-16
28,random_3,3.330669073875e-16
28,random_4,4.440892098501e-16
28,random_5,2.775557561563e-16
28,random_6,3.330669073875e-16
28,random_7,4.440892098501e-16
29,identity,0
29,random_0,3.330669073875e-16
29,random_1,3.330669073875e-16
29,random_2,3.330669073875e-16
29,random_3,3.330669073875e-16
29,random_4,2.775557561563e-16
29,random_5,5.551115123126e-16
29,random_6,2.220446049250e-16
29,random_7,4.440892098501e-16
30,identity,0
30,random_0,3.330669073875e-16
30,random_1,1.665334536938e-16
30,random_2,1.665334536938e-16
30,random_3,3.330669073875e-16
30,random_4,2.220446049250e-16
30,random_5,2.220446049250e-16
30,random_6,2.220446049250e-16
30,random_7,3.885780586188e-16
31,identity,0
31,random_0,4.440892098501e-16
31,random_1,4.440892098501e-16
31,random_2,3.330669073875e-16
31,random_3,6.661338147751e-16
31,random_4,2.775557561563e-16
31,random_5,3.330669073875e-16
31,random_6,2.775557561563e-16
31,random_7,3.885780586188e-16
