config_idx,transform_id,normalized_l2_raw_residual
25,identity,0
25,random_0,0.501972112506
25,random_1,0.491878764887
25,random_2,0.504663028815
25,random_3,0.499043845304
25,random_4,0.489926526368
25,random_5,0.501909648083
25,random_6,0.503110662883
25,random_7,0.502679524485
26,identity,0
26,random_0,0.51338025605
26,random_1,0.505235552953
26,random_2,0.494854563776
26,random_3,0.505731273704
26,random_4,0.506745219088
26,random_5,0.496428357517
26,random_6,0.496908687312
26,random_7,0.503266039888
27,identity,0
27,random_0,0.504962586372
27,random_1,0.524270874016
27,random_2,0.514599080421
27,random_3,0.493058866686
27,random_4,0.501019074938
27,random_5,0.517581646698
27,random_6,0.478708009336
27,random_7,0.511679271588
28,identity,0
28,random_0,0.478916273631
28,random_1,0.479004054732
28,random_2,0.483150763608
28,random_3,0.501453844804
28,random_4,0.499651602523
28,random_5,0.485437270017
28,random_6,0.492058936959
28,random_7,0.492288643191
29,identity,0
29,random_0,0.486635242772
29,random_1,0.486193258429
29,random_2,0.497184294543
29,random_3,0.504959886998
29,random_4,0.502355559978
29,random_5,0.498600258328
29,random_6,0.496181283702
29,random_7,0.471345266531
30,identity,0
30,random_0,0.498366996169
30,random_1,0.50161545462
30,random_2,0.502201057331
30,random_3,0.515350661639
30,random_4,0.489035816376
30,random_5,0.520979199945
30,random_6,0.485357712829
30,random_7,0.482187855914
31,identity,0
31,random_0,0.480375955258
31,random_1,0.493189159645
31,random_2,0.488911139824
31,random_3,0.490176239361
31,random_4,0.488984650074
31,random_5,0.470486874637
31,random_6,0.497076744531
31,random_7,0.490757483672
