sweep_index,xy,xz,yz
0,0.53610673616,0.529094301109,0.534732543815
1,0.518952263401,0.53944954183,0.515285203186
2,0.529050570948,0.531818333297,0.527194192284
3,0.556653928358,0.530081620081,0.518554480784
4,0.523964387098,0.53331834963,0.549408926879
5,0.557881627105,0.521921587633,0.510693774842
6,0.523193455273,0.552977814758,0.526675789207
7,0.519552818991,0.515293784162,0.542487652862
8,0.515570819934,0.524322581404,0.531776862967
9,0.535267126943,0.533374124807,0.544010907718
10,0.543362902208,0.528751755558,0.507658633016
11,0.527554333765,0.538062621777,0.52180910823
12,0.515190933989,0.530187851298,0.489553953222
13,0.526607911093,0.513920503084,0.523692096679
14,0.523160181332,0.522790394812,0.545210918661
15,0.509872848373,0.519509645122,0.503355041191
16,0.508074738783,0.532467735162,0.521370171421
17,0.541140735242,0.517734554598,0.538446494172
18,0.534684136386,0.546761936371,0.525014660195
19,0.554069280362,0.535976892684,0.534965705915
20,0.526446880781,0.523967184485,0.510933644158
21,0.524635446213,0.539338324384,0.52139030992
22,0.539783288794,0.533412807209,0.541360363585
23,0.535304561331,0.531262060728,0.50815052955
24,0.547963887124,0.533722751586,0.511114028639
25,0.528474106481,0.532945432563,0.526899334659
26,0.504382234716,0.54594888313,0.502667471944
27,0.574264211924,0.55824534701,0.550828970793
28,0.541503670389,0.5176320299,0.533701478137
29,0.536031927043,0.520222913054,0.525004613016
30,0.524703279497,0.535364324245,0.543721946662
31,0.541911735853,0.538018575855,0.56661814318
32,0.548847265384,0.542461523425,0.530289699526
33,0.543570807923,0.534782140374,0.513607620964
34,0.516174126787,0.521718154761,0.528679719124
35,0.516655211994,0.544899171816,0.532877667286
36,0.529375817652,0.491016326638,0.516336584573
37,0.531358198737,0.519961806199,0.50046479149
38,0.527331610173,0.537040557945,0.563420308392
39,0.540411868177,0.551150880942,0.554105896089
40,0.560697713551,0.517578070949,0.547773382057
41,0.505534182086,0.522139800321,0.505055638526
42,0.541330791311,0.531619611957,0.530302428617
43,0.515673566186,0.497642381112,0.538143937095
44,0.554974142977,0.510153414639,0.541372766501
45,0.512574479593,0.536443596109,0.523854666176
46,0.495021898143,0.556461668264,0.548505584206
47,0.568022686076,0.549081803412,0.560664318433
48,0.515106626509,0.495980310786,0.526216936851
49,0.515189682772,0.528998102497,0.52356598376
50,0.526252394937,0.532495009532,0.528678856319
51,0.530468237985,0.528033704235,0.536958142941
52,0.535473734304,0.529336678596,0.544799270131
53,0.549995753181,0.51763151077,0.546329716205
54,0.521551188103,0.519594178246,0.532168582461
55,0.525238163705,0.515785814651,0.506347155175
56,0.536915729196,0.545885190449,0.549708589024
57,0.507848070008,0.542218190101,0.522918670675
58,0.540303466232,0.516902806748,0.517416231924
59,0.531382695952,0.511308740293,0.555769465843
60,0.534090781613,0.559172929639,0.545086738295
61,0.581636887044,0.567275041467,0.559840129617
62,0.546307333191,0.550155630428,0.52518887312
63,0.542103676702,0.515413714735,0.531793915079
64,0.538948715366,0.525420243098,0.540125062697
65,0.509956588058,0.520813311205,0.537314387672
66,0.519300414389,0.563884958589,0.524855121571
67,0.513739160566,0.53352593881,0.497116355409
68,0.550022521329,0.562971991682,0.532516499758
69,0.547426768817,0.556566087281,0.519726865471
70,0.56115544062,0.554963746646,0.483530691622
71,0.535659304128,0.536620635744,0.543558188032
72,0.535338683666,0.539875296218,0.539789791173
73,0.515087034542,0.54826945607,0.522983258974
74,0.535331685302,0.537958967296,0.543339021724
75,0.530098386392,0.555840040588,0.553156849647
76,0.541231968095,0.537759468394,0.53600394589
77,0.520898900237,0.516231220174,0.503611284195
78,0.518767273286,0.51693122096,0.523008041406
79,0.511053410129,0.533438247793,0.515184251745
80,0.51542708378,0.517177513865,0.543736914281
81,0.522774819421,0.527907128135,0.516352050255
82,0.493657065068,0.505442989061,0.524914376525
83,0.530820843966,0.533806778238,0.551249103998
84,0.523662665426,0.545399234487,0.548621581292
85,0.556641094231,0.510611414703,0.538823125061
86,0.54305748343,0.519236465672,0.505448627386
87,0.540936191252,0.527028612539,0.539892099541
88,0.513847403093,0.529833340321,0.501343379097
89,0.51911935782,0.529235622919,0.52556000273
90,0.555146513466,0.537789354279,0.507556518817
91,0.530159724593,0.540804854481,0.510200833971
92,0.515610529905,0.488819097668,0.540022084579
93,0.553277600844,0.531434980161,0.555471110776
94,0.550255109638,0.5355309475,0.52383274941
95,0.524933125534,0.534347107417,0.514365258968
96,0.512283666487,0.550787491073,0.535135639278
97,0.531994925941,0.560338727841,0.549888391545
98,0.523304455924,0.515978779192,0.535963545338
99,0.543986128927,0.509153372692,0.518005339695
100,0.511678127769,0.531122102052,0.519749353449
101,0.537274112524,0.531345682339,0.548038364624
102,0.518029662118,0.522331822334,0.548309176896
103,0.534543235031,0.520402884908,0.552250178669
104,0.54101174184,0.540899252463,0.520641937453
105,0.533719970053,0.532803104546,0.529336905114
106,0.543229808359,0.525850289721,0.531721003915
107,0.535218706262,0.534033957068,0.518071822444
108,0.492943834634,0.480053207117,0.517200810115
109,0.511873028103,0.491890852596,0.542349156368
110,0.533940344921,0.494478185792,0.525557276503
111,0.516698342889,0.52113405353,0.519638660135
112,0.570878509961,0.516439624712,0.555355134427
113,0.549291081758,0.510348091747,0.534854525521
114,0.566543150226,0.528545112926,0.525848481111
115,0.542918547973,0.530444309073,0.550935810973
116,0.556557338191,0.544976483306,0.540316227259
117,0.510590319065,0.512153502034,0.528656354051
118,0.534232372179,0.523448699326,0.497505267118
119,0.533931418796,0.51847325437,0.500748224085
120,0.53410362419,0.533851667283,0.547426938184
121,0.534050262167,0.518008956207,0.518180677415
122,0.543792964374,0.527687257347,0.518030169126
123,0.548737173775,0.523005200396,0.531217736082
124,0.543658703733,0.535732071557,0.552110778025
125,0.53654022497,0.545340640449,0.540450207165
126,0.526021614107,0.516459577454,0.515212845439
127,0.541338008123,0.499077267217,0.496239740562
128,0.528566049655,0.526531320697,0.532373601143
129,0.560042590934,0.540891581296,0.52616010585
130,0.495016104798,0.525143911561,0.538935753511
131,0.547697174064,0.535990405687,0.527001215329
132,0.526553014186,0.514485921408,0.555910127071
133,0.532997896319,0.516417043233,0.486564877331
134,0.52527610373,0.539175462543,0.503971117679
135,0.504316757653,0.5101758488,0.520761716212
136,0.51820743294,0.52007001109,0.520375090065
137,0.509742703411,0.516633187027,0.514627603554
138,0.513612244037,0.532035981034,0.543942860161
139,0.513087939808,0.537905775741,0.528225122525
140,0.513510906038,0.524781319609,0.519215751054
141,0.536864925138,0.554868084212,0.520329683724
142,0.545911469584,0.523077294108,0.546901422579
