caseId,regime,seed,controllerMode,massRatio,timestep,radiusScale,velocityScale,thrustLimit,sensorNoiseStd,trackGuardMode,trackGuardQuantile,trackGuardMinRadius,trackGuardMaxLocalAcceleration,trackGuardMaxTidalMagnitude,guardCalibrationSampleCount,terminalOutcome,passiveOutcome,outcomeDeltaVsPassive,simulatedTime,passiveSimulatedTime,simulatedTimeDeltaVsPassive,totalDeltaV,passiveTotalDeltaV,deltaVDeltaVsPassive,minPrimaryDistance,passiveMinPrimaryDistance,minPrimaryDistanceDeltaVsPassive,saturationCount,passiveSaturationCount,saturationDeltaVsPassive,targetBandLossCount,passiveTargetBandLossCount,targetBandLossDeltaVsPassive,maxRadius,passiveMaxRadius,tidalMagnitudeAuroc,localAccelerationMagnitudeAuroc,sensorSampleCount,sensorDelayWarmupCount,meanSensorMagnitudeRelError,meanSensorMagnitudeAbsError,meanSensorComponentRmse,maxSensorMagnitudeAbsError,log,outcomeEffect,failureMechanism
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,near_escape,0,track_sensor_accel_guarded,1,0.01,1.075,1.15,0.4,0.01,hazard_quantile,0.75,2.099598945547768,0.41882830730503223,0.4090522408430226,3413,escape,escape,0,5.02,4.59,0.4299999999999997,0.44,0,0.44,0.8681072645112341,0.8681072645112341,0,110,0,110,486,443,43,4.00320584481824,4.000380557069711,0,0,4,0,2.7951008725,0.3151354775,0.2671043625,0.47570893,trials/mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__track_sensor_accel_guarded__seed_000.jsonl,time_helped,none
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,near_escape,1,track_sensor_accel_guarded,1,0.01,1.075,1.15,0.4,0.01,hazard_quantile,0.75,2.099598945547768,0.41882830730503223,0.4090522408430226,3413,escape,escape,0,4.91,4.71,0.20000000000000018,0.356,0,0.356,0.9583618742883985,0.9583618742883985,0,90,0,90,464,444,20,4.002821985014723,4.0008849742270085,0,0,4,0,1.5855816675,0.199901015,0.20225459499999998,0.30046306,trials/mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__track_sensor_accel_guarded__seed_001.jsonl,time_helped,none
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,near_escape,2,track_sensor_accel_guarded,1,0.01,1.075,1.15,0.4,0.01,hazard_quantile,0.75,2.099598945547768,0.41882830730503223,0.4090522408430226,3413,close_approach,escape,-1,14.25,7.99,6.26,1.012,0,1.012,0.07490902885243049,0.6485813937792827,-0.5736723649268523,253,0,253,1405,787,618,3.494831079343427,4.0004614676546995,0.995352,0.994747,7,0,1.5240243671428573,1.357722685714286,3.9302238000000003,7.51183708,trials/mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__track_sensor_accel_guarded__seed_002.jsonl,hurt,control_effort_or_saturation
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,near_escape,3,track_sensor_accel_guarded,1,0.01,1.075,1.15,0.4,0.01,hazard_quantile,0.75,2.099598945547768,0.41882830730503223,0.4090522408430226,3413,escape,escape,0,2.67,2.62,0.04999999999999982,0.204,0,0.204,0.9109227664716958,0.9109227664716958,0,51,0,51,252,247,5,4.004884277571417,4.0094486829097375,0,0,3,0,2.1394851466666664,0.26242774333333335,0.19431084333333334,0.44866156,trials/mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__track_sensor_accel_guarded__seed_003.jsonl,time_helped,none
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,near_escape,4,track_sensor_accel_guarded,1,0.01,1.075,1.15,0.4,0.01,hazard_quantile,0.75,2.099598945547768,0.41882830730503223,0.4090522408430226,3413,escape,escape,0,3.34,3.23,0.10999999999999988,0.28,0,0.28,0.9245715500751516,0.9245715500751516,0,71,0,71,316,305,11,4.003519308332513,4.007080759241164,0,0,3,0,3.7990676933333334,0.4194241266666667,0.29341295999999994,0.6092797,trials/mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__track_sensor_accel_guarded__seed_004.jsonl,time_helped,none
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,near_escape,5,track_sensor_accel_guarded,1,0.01,1.075,1.15,0.4,0.01,hazard_quantile,0.75,2.099598945547768,0.41882830730503223,0.4090522408430226,3413,escape,escape,0,3.8,3.66,0.13999999999999968,0.296,0,0.296,0.9074906634418869,0.9074906634418869,0,74,0,74,364,350,14,4.0017526030821,4.00169401439343,0,0,3,0,2.20854347,0.25718194333333333,0.20928310333333333,0.34810952,trials/mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__track_sensor_accel_guarded__seed_005.jsonl,time_helped,none
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,near_escape,6,track_sensor_accel_guarded,1,0.01,1.075,1.15,0.4,0.01,hazard_quantile,0.75,2.099598945547768,0.41882830730503223,0.4090522408430226,3413,escape,escape,0,4.12,3.86,0.26000000000000023,0.332,0,0.332,0.9378733617101235,0.9378733617101235,0,83,0,83,396,370,26,4.001642469950191,4.001270016643433,0,0,3,0,2.20081272,0.22713915666666665,0.17020493,0.31521788,trials/mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__track_sensor_accel_guarded__seed_006.jsonl,time_helped,none
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,near_escape,7,track_sensor_accel_guarded,1,0.01,1.075,1.15,0.4,0.01,hazard_quantile,0.75,2.099598945547768,0.41882830730503223,0.4090522408430226,3413,escape,escape,0,3.56,3.47,0.08999999999999986,0.296,0,0.296,0.7270726389900507,0.7270726389900507,0,74,0,74,344,335,9,4.000637982941833,4.004236383427369,0,0,3,0,3.2053620466666666,0.34521789333333336,0.37207907,0.58752525,trials/mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__track_sensor_accel_guarded__seed_007.jsonl,time_helped,none
