config_idx,W14_mean,W23_mean,W33_mean,gamma_held,clamped
0,0.057913247757,0.011093611305,-0.0087638232,4.20430941394,1
1,0.050034524889,-0.005193388332,-0.019251732367,3.689885852924,1
2,0.053806498257,0.010080885936,0.001621580908,0.693189171738,0
3,0.043819053684,0.007611567616,-0.003138527951,4.143024092667,1
4,0.046079997536,0.013337996512,0.010208025212,0.28468094768,0
5,0.044853346433,0.000785881108,0.002485945014,0.502568806324,0
6,0.039945821063,0.017730050387,0.007067523485,0.343259166612,0
7,0.038490605899,0.009444969487,-0.00291664366,4.124819656321,1
8,0.048124881403,0.004568447169,0.005956272676,0.377900249822,0
9,0.051894352606,0.013444136041,0.022521518253,0.140190607266,0
10,0.042990923723,0.006783588964,0.009343758806,0.272730540096,0
11,0.044185661006,0.014776263563,-0.002738089368,4.162015514773,1
12,0.033818986466,0.004724975531,0.004771119662,0.360509761707,0
13,0.042987641138,0.015050856065,0.011050588583,0.258367209164,0
14,0.04386970311,0.009889555504,0.018234040432,0.145624348157,0
15,0.035611115064,0.006959855393,0.001718388998,0.595201725958,0
16,0.051864914641,0.007504247796,-0.00148244597,4.173703480061,1
17,0.046681399289,0.009100908097,-0.007937573228,4.159383154982,1
18,0.051630098194,0.007748085527,-0.004114724055,4.173709068344,1
19,0.04963074753,0.00079776875,0.004407331197,0.401057438609,0
20,0.040770702574,0.011062430453,0.010149246543,0.258423821184,0
21,0.052243972254,0.011236667591,0.007101932834,0.379676793423,0
22,0.036130960545,0.007586589454,0.008708185875,0.258482240774,0
23,0.049123946841,0.009745041494,0.004118115444,0.479316312465,0
24,0.041391368033,0.009406746115,-0.004454337781,4.138097337201,1
25,0.046358830044,0.017588322912,0.009307874318,0.312506098462,0
26,0.039988056275,0.002019360399,-0.000105083296,4.091252940781,1
27,0.051255408245,0.008741777641,0.001630951149,0.679277751666,0
28,0.04625343347,0.009434895432,0.008309775875,0.319576417918,0
29,0.053205939802,0.009114921239,0.001069359064,0.776121772248,0
30,0.039950199652,0.013164763625,0.008839167499,0.288353630082,0
31,0.048737108752,0.004299498302,-0.003734844121,4.147588122001,1
