config_idx,W14_mean,W14_var,W23_mean,W23_var,W33_mean,W33_var
0,0.029672633628,0.251987990912,-0.022218064186,0.267155307622,-0.002390741439,0.256190151506
1,0.062264305759,0.265574653366,0.040069368713,0.282543777282,0.013075305742,0.263361522398
2,0.060198596113,0.249391005274,0.017341011096,0.265986728092,-0.011542246333,0.248006554359
3,-0.044615082577,0.253653829379,-0.014538790419,0.241312382619,0.003318025336,0.271414183818
4,0.088437822508,0.229311363248,-0.006314712801,0.266784229638,0.059951277142,0.254625318227
5,0.045251184603,0.276065899034,0.00996547917,0.256335572532,0.038677850593,0.264407525964
6,0.014810845511,0.261507500153,0.000469637705,0.23584746785,-0.004432524701,0.267802450896
7,-0.044197765391,0.258112599741,-0.015386322919,0.235097900851,0.034705808565,0.252422439033
8,-0.003786039493,0.243662248851,0.006405083345,0.24623115562,-0.020874274089,0.260651704793
9,0.039632675,0.241869115441,-0.007369218567,0.259901889667,0.038898808526,0.250474438854
10,0.054708838888,0.233336636174,0.007688929059,0.250608534548,0.091149663511,0.243910148971
11,0.013191340619,0.251971345978,-0.008277794764,0.234602748174,-0.007945976689,0.240254081926
12,0.042445265455,0.240400147645,-0.007170986829,0.256236481498,-0.007612646646,0.247842079647
13,0.024035787875,0.275080114628,-0.017604909976,0.263673261692,0.022701428419,0.256579582791
14,0.023720422605,0.239434023321,-0.051752417428,0.247018589583,-0.049288259103,0.244916052337
15,0.008969744191,0.249840242274,0.002334516188,0.250450917104,0.032587100742,0.280450669419
16,0.063009727975,0.260160253717,0.048049483603,0.229156682581,0.098789905345,0.267147768138
17,0.075980448372,0.226618921782,-0.024114216644,0.259483606078,-0.051937911163,0.250154858006
18,0.046807831939,0.235678858514,-0.005072384968,0.235246748146,-0.03145824908,0.258080989401
19,0.059066281746,0.261821548615,0.009730615279,0.242551137362,0.043078192179,0.231537891063
20,0.032126494637,0.242018099872,0.031726490804,0.239176587258,0.00056520296,0.273492365686
21,0.052353223378,0.252289649552,-0.01394581987,0.244508931102,0.012087188351,0.243584440895
22,0.008460634822,0.26029541933,-0.000414623511,0.243294216089,0.008343395791,0.2499175519
23,0.039689533317,0.238882814453,0.019492932702,0.25270207592,0.061830336693,0.253621766741
24,0.014396594879,0.262140682095,0.034960678247,0.23742120363,-0.028632664474,0.246885433387
25,0.068624079609,0.274608788174,0.000992380389,0.238780085541,-0.017036876566,0.258423228176
26,0.031615095033,0.25343710643,0.006396919594,0.273198086519,-0.015874657473,0.234717144387
27,0.035598208919,0.251006935475,-0.021993283448,0.238314654696,0.028536658442,0.260266619357
28,0.035745577226,0.235442580092,-0.02812986575,0.25536017421,-0.019415488031,0.258915353565
29,0.004835650343,0.25953479719,0.007348564514,0.247253976099,-0.074306926179,0.231403474832
30,-0.00719957263,0.279072279829,0.043053537817,0.25483009071,0.001636482974,0.232713918838
31,0.057121457737,0.248379378427,-0.003395401049,0.251141306298,0.001219204326,0.24448273208
