sample_i,sample_j,signature_distance,high_mode_distance,high_distance_over_delta_h,sample_i_high_norm,sample_j_high_norm,action_i,action_j,action_agree
0,22087,0.02113202623700553,0.012639749474155198,1.1387955978761894,0.2170201778767435,0.21720816016874206,0,0,True
0,11044,0.024587422842402343,0.013087579621513587,1.1791434703914447,0.2170201778767435,0.21659900011867145,0,0,True
0,8396,0.029144062041201055,0.012226752802790588,1.101586095247264,0.2170201778767435,0.21717400584393026,0,0,True
0,23411,0.029428265617403037,0.013417089252958226,1.208831093434467,0.2170201778767435,0.21693681624450142,0,0,True
0,40203,0.029623883151788755,0.011576218311155535,1.0429752962867775,0.2170201778767435,0.21724531069147826,0,0,True
0,20763,0.02979206019978036,0.016310166602972513,1.4694868728269448,0.2170201778767435,0.21746457962966004,0,0,True
0,19440,0.03447789956091264,0.020153450748895456,1.81575283923028,0.2170201778767435,0.21677443844539598,0,0,True
0,20764,0.03693750997781187,0.02203590749119823,1.9853553662194496,0.2170201778767435,0.21646095862831946,0,0,True
0,44175,0.03768854898376167,0.015968532975137343,1.438706921668841,0.2170201778767435,0.21636168366279143,0,0,True
0,12367,0.03843704304424573,0.022666085870418892,2.042132153259464,0.2170201778767435,0.21731908476470974,0,0,True
0,34455,0.03853113434902511,0.013435748507598882,1.2105122246220654,0.2170201778767435,0.21650340219586375,0,0,True
0,2648,0.04118814938547481,0.014601237296074985,1.3155185385845776,0.2170201778767435,0.21641386931919399,0,0,True
0,12368,0.04175873585104423,0.01829744008960272,1.6485330084309737,0.2170201778767435,0.21626899309034164,0,0,True
0,49923,0.042124844067823936,0.019294360037860604,1.7383518810939476,0.2170201778767435,0.21713263279679598,0,0,True
0,44174,0.042378555414183505,0.025221882056994147,2.272400122754578,0.2170201778767435,0.21738869543420336,0,0,True
0,11043,0.042488761843761505,0.025149355531549632,2.2658657457818108,0.2170201778767435,0.2175737324414651,0,0,True
0,18116,0.04316807312700109,0.020930585347353398,1.8857698487834171,0.2170201778767435,0.2170592173552034,0,0,True
0,13691,0.0447749464064313,0.022826685532896334,2.0566016005395444,0.2170201778767435,0.21705580265873708,0,0,True
0,29159,0.04479383481290587,0.01830594743187078,1.64929948912304,0.2170201778767435,0.217610309234011,0,0,True
0,24735,0.046207778236976034,0.017523872364875605,1.5788373612680606,0.2170201778767435,0.2166397964779352,0,0,True
0,19439,0.04682901546839692,0.0227429017962526,2.0490529896546064,0.2170201778767435,0.2177218618589584,0,0,True
0,45498,0.04690881776394127,0.024905074770569257,2.243856934941128,0.2170201778767435,0.21712928910637821,0,0,True
0,42850,0.04738347211928147,0.027941419963862155,2.5174206275463242,0.2170201778767435,0.21764386487179432,0,0,True
0,7072,0.047677155490845786,0.018347143043471247,1.6530110643594285,0.2170201778767435,0.21743155688791954,0,0,True
0,22088,0.048598998450251805,0.025533388563897003,2.300465729552886,0.2170201778767435,0.2161197311236851,0,0,True
