k,r_k_median,r_k_median_passing,fidelity_coverage,incompat_fraction,mean_minority
10,0.021989511656041898,0.021349427927245906,0.90094,0.0,0.0
15,0.029071646854129808,0.02791931937264922,0.90048,0.0,0.0
20,0.031909906626164886,0.031247347788044083,0.90048,0.0,0.0
25,0.03520996534757548,0.034407981236006815,0.90048,0.0,0.0
30,0.039687643697828554,0.03787917481830653,0.90048,0.0,0.0
40,0.045760288619817825,0.044646473228023315,0.9004,0.0,0.0
50,0.05038524574165698,0.048920545896268305,0.90024,0.0,0.0
