sample_i,sample_j,signature_distance,high_mode_distance,action_i,action_j,action_agree
0,31404,0.023017957229324416,0.011961244778233713,0,0,True
0,1328,0.02537686141853616,0.013039132725227038,0,0,True
0,34058,0.025645235711031493,0.011671855049322645,0,0,True
0,28748,0.03062135066178892,0.014324664759785336,0,0,True
0,35386,0.03111673821565808,0.016896426122936122,0,0,True
0,5310,0.031245655368870848,0.0170338958579005,0,0,True
0,24766,0.03211021172109084,0.017442571370985867,0,0,True
0,27422,0.03217787907903985,0.015144537461781711,0,0,True
0,23439,0.03249609650292288,0.01692261132153198,0,0,True
0,6637,0.03391251415372226,0.01737286402899389,0,0,True
0,24767,0.03421712708330537,0.015812966509896286,0,0,True
0,36713,0.035682975220547676,0.017940018237514347,0,0,True
0,34059,0.036227784166441714,0.01955109496837532,0,0,True
0,30077,0.036970091831311495,0.01868556390417295,0,0,True
0,3983,0.03776321212869802,0.020283064270997863,0,0,True
0,1,0.03962130239363283,0.02001739259288956,0,0,True
0,5309,0.039945708218834225,0.01689860712087625,0,0,True
0,2654,0.040191115706108727,0.016488664634305747,0,0,True
0,22112,0.0421456641583926,0.02032061909384292,0,0,True
0,26093,0.042875855984615546,0.021448839055360283,0,0,True
0,35385,0.043583101210234385,0.01825080581755617,0,0,True
0,32730,0.04413687516554092,0.01798111511788368,0,0,True
0,7964,0.045680624519883944,0.021109601172054352,0,0,True
0,32732,0.04649197702852771,0.02464071188850394,0,0,True
0,38041,0.04666599184054472,0.025358924284762937,0,0,True
0,7965,0.04681632797589088,0.025502335141924116,0,0,True
0,20784,0.04690640108312709,0.024996917137249844,0,0,True
0,9292,0.047754537359321926,0.02522440702974376,0,0,True
0,22111,0.047826277446451806,0.025985473405415405,0,0,True
0,26095,0.04798677915674671,0.023349366371072756,0,1,False
0,2656,0.048526645991804035,0.025677800134321933,0,0,True
0,38040,0.048625773406708483,0.02212035356423461,0,0,True
0,39368,0.04887308657339154,0.025551903091455663,0,0,True
0,23440,0.04945562490455426,0.02335663651056116,0,0,True
0,30075,0.05012154024741356,0.021442949348223685,0,0,True
0,36714,0.05067673744110359,0.027594835979075697,0,0,True
0,28750,0.05112399534631826,0.02608476927031706,0,1,False
0,49533,0.051650021284693766,0.02618461211597282,0,0,True
0,6638,0.05175391686328214,0.02814239663917329,0,0,True
0,19457,0.0534309198014604,0.026816024063397118,0,0,True
1,31405,0.019966685567322805,0.011267418322023479,0,1,False
1,1329,0.021654319355442885,0.012259969309648249,0,1,False
1,34059,0.02438554237272611,0.011942162237178788,0,0,True
1,28749,0.026285868257919842,0.014000367749860956,0,0,True
1,27423,0.027078416718944665,0.01478458005646149,0,1,False
