seed,terminalOutcome,steps,terminalAlignment,terminalDistance,pathEfficiency,saturationCount
10000,timeout,200,0.9792829374813258,0.3069299954963503,0.9936342065161143,90
10001,success,73,0.996027038928039,0.13384294570733,0.971144925899332,44
10002,success,104,0.9993189182654975,0.05537067809000231,0.9979109197935766,88
10003,timeout,200,0.9756615726463524,0.3329831214523153,0.9993727082878915,86
10004,success,142,0.9926659166386705,0.18200273319199012,0.9524943489085681,43
10005,timeout,200,0.9643018065316932,0.4044493815641811,0.93424030014546,29
10006,success,85,0.9984250170037247,0.08422001327590406,0.9980415180382118,73
10007,timeout,200,0.9729052528464358,0.35158014780701713,0.9888005496067048,33
10008,success,119,0.9952308492199173,0.14667146144623672,0.8484128949716022,74
10009,success,96,0.9975703675756873,0.10462623699696358,0.9547552210434482,73
10010,timeout,200,0.9798039288442622,0.30300594010966564,0.9438212387010962,35
10011,timeout,200,0.9535690043583886,0.46254263758222613,0.9937814260857756,114
10012,success,93,0.9982718618552684,0.0882232902419945,0.8728338195353325,69
10013,success,93,0.9993161880390447,0.05548158614770461,0.9376844243938338,63
10014,timeout,200,0.7467322717294542,1.146393707379437,0.9944680817063596,23
10015,success,105,0.9945474920998656,0.15685477948730742,0.9683405608887917,70
10016,timeout,200,0.8707857666548858,0.789060724541855,0.9913912308436078,51
10017,success,77,0.9975151825431349,0.1058092331839772,0.9951366388302585,57
10018,timeout,200,0.7564309583991655,1.1207801144394025,0.7486882867531043,59
10019,timeout,200,0.9660919064856618,0.3939966827600432,0.9990123851114399,42
10020,success,102,0.9971612357730051,0.1131043996473237,0.9954682119753474,82
10021,success,53,0.9996913882974423,0.0372688475575804,0.963755971604624,34
10022,success,102,0.993815524374379,0.16708247722236041,0.8865154447286633,56
10023,success,160,0.9930392770685407,0.17729291575995976,0.8315198177406744,61
10024,success,81,0.9978021425352163,0.09950499154532629,0.9997035623096815,67
10025,timeout,200,0.9066348750859663,0.6641307322227656,0.9497993626928981,39
10026,timeout,200,0.9141757573260341,0.6354494008657304,0.9443344338030343,26
10027,timeout,200,0.9445157916018735,0.5068263281430467,0.800836641213985,65
10028,timeout,200,0.9856379916513175,0.25514237397459244,0.9915289149542419,24
10029,timeout,200,0.850425059760042,0.853864994500878,0.9747510643526472,36
10030,timeout,200,0.966839583796973,0.38955371320597176,0.9962667178560538,81
10031,timeout,200,0.9611837964978815,0.42208215760788415,0.9716927919019852,56
10032,timeout,200,0.9182553193361706,0.6194829346059255,0.9487043020714389,64
10033,success,65,0.9994114265086833,0.05147193855973961,0.9440251218022353,42
10034,success,68,0.9992924929994724,0.056434991873283075,0.9231267406068414,36
10035,success,120,0.9996353552286592,0.04051173554480761,0.9845069651864977,101
10036,timeout,200,0.9486392246695655,0.4871039144662957,0.9944488472865151,58
10037,success,136,0.9918958441570711,0.19135641767658124,0.8618192359647795,75
10038,success,30,0.998861319826459,0.0716029352096929,0.9923762417728473,18
10039,success,119,0.9973701010471336,0.10885832285582714,0.9956700301361082,98
10040,timeout,200,0.8287795763654471,0.9192957771497697,0.9681256025716182,30
10041,timeout,200,0.9690492057539769,0.37613760516522987,0.9194830890891367,43
10042,timeout,200,0.8546737306836676,0.8406305251774061,0.8293665148733679,61
10043,timeout,200,0.9785316638082453,0.31250535849902616,0.9532897435098826,29
10044,success,48,0.9970588628152947,0.11512870504762018,0.9944984674918186,36
10045,success,50,0.9993198371960336,0.05533329909120112,0.9627362864178126,28
10046,timeout,200,0.9805059409163834,0.29764002474709905,0.9230958367020058,39
10047,timeout,200,0.9844707073075629,0.265386715010718,0.9660776747162336,79
10048,timeout,200,0.9270965724638095,0.5836428157894746,0.8319641257967957,65
10049,timeout,200,0.9866681383743398,0.24575776553218673,0.9696319799467364,71
10050,timeout,200,0.9322160567127086,0.5620124713474454,0.9839128623440914,104
10051,timeout,200,0.9085376245285635,0.6569896509561209,0.9524672329111556,70
10052,success,84,0.9986636465853252,0.07757326917443202,0.852918695227056,68
10053,timeout,200,0.782605060779381,1.0502723274063395,0.946925872629796,43
10054,success,110,0.9992502382826469,0.05809641281161996,0.8882913553092467,64
10055,timeout,200,0.9872946403011456,0.2398758712321389,0.9284916223071481,62
10056,timeout,200,0.9544811188476748,0.45786829704559945,0.9850146065108194,53
10057,timeout,200,0.8674222889364223,0.8000200512655792,0.9862038251023855,62
10058,success,93,0.9980651510875695,0.09335552569345826,0.9023859023541085,61
10059,success,40,0.9986881361829879,0.07685871965143369,0.9885251821820955,18
10060,success,94,0.9961820229874105,0.13120128967418476,0.9277294375575784,68
10061,success,90,0.9978692634903159,0.09797215886622769,0.9273070453664096,49
10062,success,46,0.9930014156513924,0.17777612855014163,0.9685708289531506,11
10063,timeout,200,0.8658625160150646,0.8050659179851222,0.9789042662150663,15
