update,env_steps,mean_reward,episode_done_rate,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_variance,log_std
1,32768,-6.162731170654297,0.00390625,0.00022444922797149047,4888.331817626953,1.8372261710464954,0.002557665771291795,0.0176849365234375,0.0004819631576538086,-0.5003257989883423
2,65536,-6.003701210021973,0.00390625,-0.0010522164557187352,4805.181751251221,1.8382679848000407,0.0029385619659478834,0.0224151611328125,0.01743006706237793,-0.49912819266319275
3,98304,-5.7512054443359375,0.003936767578125,0.0002222703715233365,4417.940679550171,1.8403757140040398,0.0028053937494405545,0.0198974609375,0.005273938179016113,-0.4985359311103821
4,131072,-5.561212062835693,0.007781982421875,-0.000563339937798446,3801.4183292388916,1.8430750630795956,0.002637264652094018,0.01737213134765625,0.003244638442993164,-0.4962548017501831
5,163840,-5.4868574142456055,0.00390625,-0.0004543218201433774,3943.1359252929688,1.8470429256558418,0.002760242551630654,0.019989013671875,0.02714073657989502,-0.494363933801651
6,196608,-5.312542915344238,0.00390625,9.736017273098696e-05,3691.924551010132,1.850102343596518,0.0022851951252960134,0.0115203857421875,0.06006014347076416,-0.4939682185649872
7,229376,-5.1105122566223145,0.00396728515625,-4.815926877199672e-05,3425.6862716674805,1.8509704992175102,0.0024671222386132285,0.01715087890625,0.04217517375946045,-0.49268633127212524
8,262144,-5.260870456695557,0.00775146484375,-6.33582312730141e-05,3410.430337905884,1.8516167541965842,0.00232002212169391,0.01708984375,0.07381695508956909,-0.4933709502220154
9,294912,-5.100198745727539,0.00390625,-0.0005342079693946289,3280.826177597046,1.8536696089431643,0.0026050709261653537,0.0184326171875,0.08543306589126587,-0.49069640040397644
10,327680,-4.830690860748291,0.00396728515625,0.00038363651219697203,2960.67569732666,1.8554011154919863,0.001953626974227518,0.0106048583984375,0.14350765943527222,-0.491862952709198
11,360448,-4.790346145629883,0.00775146484375,-0.000606010677984159,2659.792287826538,1.8553592376410961,0.0028841880057370872,0.022674560546875,0.12557107210159302,-0.49053335189819336
12,393216,-4.930126190185547,0.00396728515625,-7.111111335689202e-05,2942.366653442383,1.8596878740936518,0.0020051559026796895,0.0114898681640625,0.1392088532447815,-0.48712652921676636
13,425984,-4.794543743133545,0.00396728515625,-0.00016710162708477583,2853.0416316986084,1.8680318826809525,0.0023791408175384277,0.01615142822265625,0.23109889030456543,-0.4829343855381012
14,458752,-4.621277332305908,0.0040283203125,0.0006945129862288013,2683.4034366607666,1.873919072560966,0.0022695637585457007,0.0147552490234375,0.2498912811279297,-0.4808717966079712
15,491520,-4.799328804016113,0.00762939453125,0.00031933311402099207,2621.902853012085,1.8773762602359056,0.002352296282424504,0.0150146484375,0.2219281792640686,-0.47937172651290894
16,524288,-4.697287559509277,0.003997802734375,-0.0003954004341721884,2641.054355621338,1.8835164764896035,0.0027905548431590432,0.02024078369140625,0.2775607109069824,-0.4753878116607666
17,557056,-4.502782344818115,0.0040283203125,0.00043997586544719525,2430.032859802246,1.8887803936377168,0.0030032233298697975,0.02274322509765625,0.2865981459617615,-0.47463464736938477
18,589824,-4.332427978515625,0.0076904296875,0.000272954677711823,2128.55215549469,1.8899568999186158,0.0023164996409832384,0.016693115234375,0.32029491662979126,-0.4730299115180969
19,622592,-4.619158744812012,0.00396728515625,-0.0005497134407050908,2477.1616039276123,1.8950271951034665,0.0026315052773497882,0.02069091796875,0.38961631059646606,-0.47022491693496704
20,655360,-4.348656177520752,0.004058837890625,0.0006044098445272539,2188.2364740371704,1.899221614934504,0.0027736025649574003,0.02490234375,0.45469510555267334,-0.46834832429885864
21,688128,-4.211386203765869,0.004180908203125,-0.0007715989759162767,2099.8008346557617,1.9047813322395086,0.003265773873863509,0.02652740478515625,0.4684351682662964,-0.4653507471084595
22,720896,-4.294857025146484,0.007537841796875,0.0002620149334688904,1935.3337211608887,1.9069502614438534,0.002399755392161751,0.01624298095703125,0.449737548828125,-0.46574825048446655
23,753664,-4.260436058044434,0.0040283203125,0.0006589695440197829,1993.7833290100098,1.9088340625166893,0.0024851696839505166,0.0185546875,0.5054964423179626,-0.46303683519363403
24,786432,-3.9978580474853516,0.004180908203125,0.00048318671542801894,1774.02041721344,1.914419530890882,0.0028507219753919344,0.025238037109375,0.5642900466918945,-0.46105384826660156
25,819200,-3.859628677368164,0.00750732421875,-0.00015082727441040333,1685.237467765808,1.916883154772222,0.0025037427099050547,0.0171966552734375,0.5427769422531128,-0.4598788022994995
26,851968,-4.242371559143066,0.00421142578125,-3.9570215449202806e-05,1914.2784805297852,1.9186025280505419,0.0027957224833699,0.020294189453125,0.5742580890655518,-0.4597465395927429
27,884736,-3.8786721229553223,0.00408935546875,0.0003105999439867446,1616.0176877975464,1.9187155775725842,0.0024159325735126913,0.0156707763671875,0.6285109519958496,-0.4600890278816223
28,917504,-3.636683702468872,0.004302978515625,0.00020724530440929811,1429.6533670425415,1.9180349670350552,0.0031268434095181874,0.0279083251953125,0.6713657975196838,-0.45937860012054443
29,950272,-3.7724733352661133,0.00732421875,-2.4136079446179792e-06,1405.864179611206,1.920385061763227,0.004061269412886759,0.04296112060546875,0.6500322818756104,-0.45797979831695557
30,983040,-3.8464455604553223,0.0042724609375,-0.0007801649280736456,1508.3904886245728,1.9233666183426976,0.0033021125209415914,0.02753448486328125,0.6813712120056152,-0.45598304271698
