update,env_steps,mean_reward,episode_done_rate,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_variance,log_std
1,32768,-3.2877187728881836,0.00390625,0.0002554014317865949,1265.1924352645874,1.83723696321249,0.00258597317542808,0.01793670654296875,0.0009034276008605957,-0.5003178119659424
2,65536,-3.2036614418029785,0.00390625,-0.0010316611842426937,1280.0679864883423,1.838293807581067,0.0029727555856879917,0.02288818359375,0.0413287878036499,-0.49908626079559326
3,98304,-3.068855047225952,0.003936767578125,0.00024151428078766912,1165.9676361083984,1.840320335701108,0.002890322180974181,0.02144622802734375,0.03384566307067871,-0.49872255325317383
4,131072,-2.9731035232543945,0.0078125,-0.0005015737369831186,992.6078419685364,1.8425722979009151,0.002631567452226591,0.01737213134765625,0.05608797073364258,-0.4964187741279602
5,163840,-2.936274528503418,0.00390625,-0.0005282513375277631,1028.382052898407,1.8466909630224109,0.0028299225491537072,0.02045440673828125,0.0740206241607666,-0.4945428967475891
6,196608,-2.8423962593078613,0.00390625,6.126104199211113e-05,950.8462672233582,1.849657928571105,0.0022904022325747064,0.0117645263671875,0.13364338874816895,-0.49425947666168213
7,229376,-2.732942581176758,0.003997802734375,2.2590236767427996e-05,873.0147485733032,1.850328461267054,0.0024934270541052683,0.01758575439453125,0.09132319688796997,-0.4930677115917206
8,262144,-2.809204578399658,0.00775146484375,-5.356364454200957e-05,866.8803172111511,1.8506898041814566,0.0024249940329355013,0.01883697509765625,0.1437816023826599,-0.49397462606430054
9,294912,-2.7248525619506836,0.00390625,-0.0004747136790683726,819.753565788269,1.8523928737267852,0.002561365395649773,0.017974853515625,0.16562926769256592,-0.49127456545829773
10,327680,-2.578416347503662,0.00396728515625,0.0003629286729847081,729.0714001655579,1.8542584255337715,0.0020516450713330414,0.01165771484375,0.2650443911552429,-0.49250078201293945
11,360448,-2.554072856903076,0.00775146484375,-0.00045381576637737453,654.1455521583557,1.8550988035276532,0.0030535801051883027,0.0264739990234375,0.23554426431655884,-0.4900602698326111
12,393216,-2.6455752849578857,0.0040283203125,1.7380960343871266e-05,721.332914352417,1.8601229880005121,0.001875232804195548,0.01136016845703125,0.25250083208084106,-0.4871617257595062
13,425984,-2.566394329071045,0.003936767578125,-0.00011867485227412544,689.14111328125,1.8678317125886679,0.002376916286721098,0.01650238037109375,0.38349759578704834,-0.4831247925758362
14,458752,-2.4551641941070557,0.00396728515625,0.0007473432397091528,634.0872721672058,1.873214808292687,0.0024296923779729696,0.0170745849609375,0.4163021445274353,-0.481617271900177
15,491520,-2.547089099884033,0.0076904296875,0.0005602934379567159,631.7076735496521,1.8760105082765222,0.002391794558661786,0.016143798828125,0.3745949864387512,-0.47995221614837646
16,524288,-2.4943134784698486,0.003997802734375,-0.0006132400139904348,613.3918375968933,1.882291710935533,0.002814653359564545,0.0204010009765625,0.47670549154281616,-0.4760282635688782
17,557056,-2.3903541564941406,0.0040283203125,0.0005263412203930784,561.7132935523987,1.8879727255553007,0.0030946778783800255,0.02518463134765625,0.5193233489990234,-0.47478151321411133
18,589824,-2.294768810272217,0.007720947265625,0.0002246712574560661,504.86590003967285,1.889069420285523,0.0028283202623242687,0.0225372314453125,0.5254632234573364,-0.47390830516815186
