config_idx,W11_mean,W11_var,W12_mean,W12_var,W13_mean,W13_var,W22_mean,W22_var
0,0.846052364458,0.014264084977,0.732465903356,0.041611765517,0.640834023839,0.069106122874,0.575497715793,0.093455708005
1,0.848973770867,0.014683730892,0.741700109571,0.03758662167,0.655697628196,0.062536968734,0.597451958422,0.080183640393
2,0.845964542926,0.014293721631,0.734322199472,0.042300045887,0.642518055135,0.070423186144,0.577508243338,0.096824861149
3,0.853543692623,0.01393525675,0.746602057242,0.037052919371,0.653034609342,0.06423953517,0.600161401895,0.085498503614
4,0.850398189032,0.014050677554,0.741377234298,0.038118258062,0.648025236394,0.066225143916,0.602318715524,0.079796858116
5,0.850563404279,0.014607177077,0.741831976599,0.040168478113,0.661010471262,0.063964717413,0.5932911689,0.085792470656
6,0.845754325112,0.015862156666,0.731100026044,0.042760990301,0.636307896226,0.074847413213,0.573943363359,0.088749506793
7,0.847088149982,0.01510806978,0.733740998691,0.040947333205,0.636263371275,0.071385375136,0.573954863651,0.094371470286
8,0.851590589411,0.01427344464,0.741031065888,0.040424270291,0.648188579422,0.068348110273,0.588472307396,0.090198843289
9,0.850219216286,0.014394955582,0.743583387861,0.039383147345,0.655440763878,0.064607833887,0.592387917308,0.081869017595
10,0.852454184649,0.014359725099,0.741987851876,0.037467425031,0.651887912106,0.064092412924,0.584582036834,0.087675907283
11,0.849783075249,0.014479078282,0.737459935771,0.041111684911,0.645491616225,0.068231557691,0.57486352764,0.093991217345
12,0.843569221503,0.01719301357,0.733012519888,0.042251822632,0.644486382073,0.0681908521,0.577138035358,0.084312219103
13,0.848336864244,0.014217951427,0.732738231709,0.039913183222,0.634859090503,0.072452589503,0.574213622976,0.089316360414
14,0.846888699746,0.014231501482,0.731277155265,0.040822918225,0.635599496514,0.070810396525,0.577281281433,0.092219347424
15,0.847437315188,0.015644030177,0.734927999262,0.042191675196,0.639451846168,0.072786302264,0.574401857058,0.097724778064
16,0.844995868976,0.015764695439,0.73081530179,0.04213820818,0.637170798618,0.071578080586,0.570006778071,0.089739107634
17,0.847588341085,0.015068501752,0.735123394604,0.042572150266,0.642887827336,0.070738282402,0.578832445765,0.094441266386
18,0.843961588865,0.016065771886,0.731070037488,0.041502929798,0.641899704409,0.066729136692,0.56696010107,0.089820833352
19,0.846522092047,0.015092984111,0.73554119682,0.040468349701,0.646007029796,0.068304980577,0.579854029693,0.091458996262
20,0.845772036661,0.015096243404,0.731076198274,0.040594870832,0.634545412799,0.071569921838,0.569892755871,0.091894861947
21,0.846679865518,0.015790563626,0.73240213524,0.041322127648,0.638447544836,0.070420902013,0.56897862257,0.092807169897
22,0.846387169377,0.014765974073,0.738968448494,0.039247925131,0.650491498675,0.065941319311,0.591450584885,0.085730635739
23,0.848446640874,0.01462063157,0.730689003431,0.039277517105,0.630984910886,0.069956304119,0.557231541991,0.097089891858
24,0.846393952288,0.015764463726,0.730969002328,0.042177988869,0.630850958207,0.073514022543,0.564503149577,0.094623715208
25,0.84076714303,0.016670439356,0.720409731357,0.045228805457,0.621208675494,0.077448117205,0.549009182362,0.101213252106
26,0.850899965801,0.013935269765,0.739595418607,0.039866413973,0.652545482611,0.067028438652,0.575892867981,0.092796943063
27,0.849365478661,0.015465222834,0.734644787763,0.041636470522,0.639005238027,0.06938180954,0.563781454415,0.094828968727
28,0.845312977856,0.014009494932,0.737696844597,0.03960334969,0.650180378725,0.065188314573,0.579476072189,0.089842408233
29,0.850697162767,0.013829010699,0.73930198988,0.039160964343,0.646839647934,0.070696674096,0.587330680991,0.089622882846
30,0.850126628643,0.014523993209,0.73621218176,0.039004534021,0.642520696044,0.068715736767,0.567880445768,0.096221948379
31,0.849157209973,0.015272444097,0.738420202335,0.041611726419,0.649985899818,0.068171037778,0.583215242794,0.093496599949
