sample_i,sample_j,signature_distance,high_mode_distance,high_distance_over_delta_h,sample_i_high_norm,sample_j_high_norm
0,1,0.06961186744131707,0.03978306435859323,1.5950537952600408,0.726530764102024,0.7644559167018299
0,2,0.1436015957470441,0.08070058561482527,3.235592266205876,0.726530764102024,0.8031679717346855
1,0,0.06961186744131707,0.03978306435859323,1.5950537952600408,0.7644559167018299,0.726530764102024
1,2,0.0740208523018544,0.0409787500973971,1.6429933671951389,0.7644559167018299,0.8031679717346855
2,1,0.0740208523018544,0.0409787500973971,1.6429933671951389,0.8031679717346855,0.7644559167018299
2,3,0.07864454879129074,0.04205084301439184,1.685977634588671,0.8031679717346855,0.8424414227467977
2,0,0.1436015957470441,0.08070058561482527,3.235592266205876,0.8031679717346855,0.726530764102024
3,2,0.07864454879129074,0.04205084301439184,1.685977634588671,0.8424414227467977,0.8031679717346855
3,4,0.0834702286506287,0.042976613672598515,1.7230952881862622,0.8424414227467977,0.8820003840938603
4,3,0.0834702286506287,0.042976613672598515,1.7230952881862622,0.8820003840938603,0.8424414227467977
4,5,0.0884770994192109,0.04373715121677081,1.7535881201444856,0.8820003840938603,0.9215140762553283
5,4,0.0884770994192109,0.04373715121677081,1.7535881201444856,0.9215140762553283,0.8820003840938603
5,6,0.0936345455398919,0.04432105970276721,1.7769992238814436,0.9215140762553283,0.9605932522395518
6,5,0.0936345455398919,0.04432105970276721,1.7769992238814436,0.9605932522395518,0.9215140762553283
6,7,0.09890030164378723,0.04472925115827823,1.7933651660430845,0.9605932522395518,0.9987881029542606
7,6,0.09890030164378723,0.04472925115827823,1.7933651660430845,0.9987881029542606,0.9605932522395518
7,8,0.10421868822209412,0.0449815196127443,1.8034795642727817,0.9987881029542606,1.035588286348412
8,7,0.10421868822209412,0.0449815196127443,1.8034795642727817,1.035588286348412,0.9987881029542606
8,9,0.10951909490769544,0.045124486586563664,1.8092116519805543,1.035588286348412,1.07042582924839
9,8,0.10951909490769544,0.045124486586563664,1.8092116519805543,1.07042582924839,1.035588286348412
9,10,0.11471494064366268,0.04523975738998615,1.8138332952713885,1.07042582924839,1.102681686591127
10,9,0.11471494064366268,0.04523975738998615,1.8138332952713885,1.102681686591127,1.07042582924839
10,11,0.11970340039750967,0.04545090594749559,1.8222990410214732,1.102681686591127,1.1316967453267948
11,10,0.11970340039750967,0.04545090594749559,1.8222990410214732,1.1316967453267948,1.102681686591127
11,12,0.12436622637322303,0.04592474222274101,1.8412969327461925,1.1316967453267948,1.156787960824815
12,11,0.12436622637322303,0.04592474222274101,1.8412969327461925,1.156787960824815,1.1316967453267948
12,13,0.12857199181116274,0.046860812269942834,1.8788275278748205,1.156787960824815,1.1772700735609438
13,12,0.12857199181116274,0.046860812269942834,1.8788275278748205,1.1772700735609438,1.156787960824815
13,14,0.1321800555912319,0.04846531212276991,1.943158006710677,1.1772700735609438,1.1924830327109535
14,13,0.1321800555912319,0.04846531212276991,1.943158006710677,1.1924830327109535,1.1772700735609438
14,15,0.13504644549037767,0.05091047487170119,2.041193846472952,1.1924830327109535,1.2018247644738285
15,14,0.13504644549037767,0.05091047487170119,2.041193846472952,1.2018247644738285,1.1924830327109535
15,16,0.13703170991749547,0.05429190962151446,2.176768378452131,1.2018247644738285,1.204788299312089
16,15,0.13703170991749547,0.05429190962151446,2.176768378452131,1.204788299312089,1.2018247644738285
