r_lo,r_hi,count,within_epsilon
0.0,0.006260360939751715,0,True
0.006260360939751715,0.01252072187950343,0,True
0.01252072187950343,0.018781082819255147,0,True
0.018781082819255147,0.02504144375900686,0,True
0.02504144375900686,0.031301804698758574,9935,True
0.031301804698758574,0.037562165638510295,31320,True
0.037562165638510295,0.04382252657826201,8745,True
0.04382252657826201,0.05008288751801372,0,True
0.05008288751801372,0.056343248457765435,0,True
0.056343248457765435,0.06260360939751715,0,True
0.06260360939751715,0.06886397033726886,0,False
0.06886397033726886,0.07512433127702059,0,False
0.07512433127702059,0.0813846922167723,0,False
0.0813846922167723,0.08764505315652402,0,False
0.08764505315652402,0.09390541409627573,0,False
0.09390541409627573,0.10016577503602744,0,False
0.10016577503602744,0.10642613597577916,0,False
0.10642613597577916,0.11268649691553087,0,False
0.11268649691553087,0.11894685785528258,0,False
0.11894685785528258,0.1252072187950343,0,False
