config_idx,W14_mean,W14_var,W23_mean,W23_var,W33_mean,W33_var
0,0.120361942184,0.240251865651,0.040633261876,0.24908969186,-0.000258018128,0.25130848164
1,0.148991977239,0.229061970044,0.065052129437,0.245211083642,0.022024531529,0.2514644663
2,0.141464720508,0.235736206497,0.065531088357,0.246318658356,0.01445988192,0.249281841513
3,0.143249217531,0.233366566023,0.061371138092,0.246408061647,0.020657332966,0.247184486461
4,0.142050741506,0.235152398825,0.069977264625,0.247971581369,0.020437653167,0.251143793583
5,0.147098124561,0.234718033394,0.071474929796,0.244635570276,0.020484059684,0.252330658982
6,0.137277568159,0.235193615128,0.060154604764,0.243044714513,0.021664357207,0.2536311563
7,0.115766744892,0.235876637095,0.049440848097,0.249142995745,0.016601226179,0.244140958059
8,0.136905157928,0.237396064793,0.066364371779,0.246840682919,0.026190244144,0.243789780348
9,0.139299707505,0.23541750329,0.065675444836,0.248846004921,0.024544991765,0.251205744688
10,0.124711648761,0.236170922666,0.049724151786,0.244123368728,0.005251596326,0.255729746176
11,0.134831476507,0.237073897252,0.053126908828,0.24346924243,0.00877155731,0.248792270622
12,0.132046971773,0.23583476764,0.046879638636,0.252224359634,0.006924445622,0.249006638859
13,0.131123517703,0.235261002336,0.054719933879,0.248425498016,0.008625678644,0.249110617896
14,0.134189158327,0.239714171317,0.057258205303,0.246529415802,0.019730394978,0.248824361101
15,0.142117140595,0.229955952921,0.052078133389,0.246725005858,0.012219342171,0.250110088798
16,0.151079756442,0.235282806084,0.062310258722,0.244324037147,0.008617108634,0.248747912866
17,0.129215334106,0.239446962827,0.04238047328,0.24664720989,0.009206606275,0.248275540723
18,0.156733094413,0.236657278458,0.064142767033,0.246406502045,0.01494606181,0.255887949391
19,0.137925756796,0.236092025596,0.04954915193,0.243568327829,0.018098956841,0.245295702113
20,0.118460279849,0.238935906629,0.049122892076,0.246872462776,0.025264307365,0.256092224801
21,0.130157889311,0.234281837878,0.050217394982,0.239593386544,0.010041692085,0.249045729223
22,0.13707295012,0.235168659869,0.055332884057,0.248046071416,0.022660624072,0.243538402235
23,0.144767122553,0.235561909198,0.054795152581,0.245443385581,-0.0038188722,0.252145807907
24,0.133562763283,0.237645104352,0.048159436944,0.25070166872,0.006475989709,0.243824931067
25,0.14828864066,0.23377564606,0.058774857953,0.247303520812,0.014940719269,0.252094768225
26,0.1292206301,0.236082843248,0.060826584977,0.246318468215,0.026956200448,0.248872900852
27,0.147850202373,0.233163615567,0.057398903408,0.242070204697,0.014877805601,0.24694351609
28,0.139635689528,0.236462736063,0.066676281545,0.251576512883,0.021138575612,0.254215294748
29,0.132356092852,0.23743071895,0.049840644662,0.246151937128,0.023757807347,0.246022088153
30,0.138785405433,0.233888798212,0.051019020904,0.251983957029,0.020863249624,0.24588283374
31,0.127883187731,0.238761123532,0.045936029727,0.251324244531,0.015643854045,0.247657857292
