sample_idx,abs_mean_P,mean_abs_P,chi_P,mean_P,mean_plaquette
0,0.443780825336,0.496425865153,0.129497941907,0.443780825336,0.835335670405
1,0.490344234602,0.5364849769,0.127533946723,-0.490344234602,0.832841665715
2,0.386044281683,0.488438376867,0.163817701789,-0.386044281683,0.83003041692
3,0.08937176544,0.39940686299,0.210941887555,0.08937176544,0.826825368582
4,0.48542554392,0.537741252378,0.125100989419,0.48542554392,0.838866971052
5,0.433204758429,0.507791745158,0.145129582439,0.433204758429,0.834810801915
6,0.594261527052,0.610996482178,0.089200338938,0.594261527052,0.84105039203
7,0.42937186986,0.48302624178,0.119920411737,0.42937186986,0.836340217362
8,0.126719278048,0.451584990772,0.250858949653,0.126719278048,0.830988926234
9,0.340837170039,0.414006300174,0.117232277617,-0.340837170039,0.837378413229
10,0.433901383936,0.4727186644,0.117989626282,-0.433901383936,0.834436270942
11,0.395186122502,0.470548861906,0.144340173917,-0.395186122502,0.833531633988
12,0.514552689678,0.535929469727,0.090907087327,-0.514552689678,0.840526833468
13,0.593632428334,0.596316871355,0.064182100803,-0.593632428334,0.83810277414
14,0.334963424859,0.417894361287,0.132298152708,-0.334963424859,0.830379108903
15,0.220452725072,0.373665839236,0.157867473277,0.220452725072,0.837783388178
16,0.048431153632,0.415748373719,0.236196854097,0.048431153632,0.825415504862
17,0.383987877874,0.486779572039,0.157762632055,0.383987877874,0.829291347397
18,0.544127883549,0.579004855264,0.105314363523,0.544127883549,0.841299890531
19,0.389530288562,0.496733035235,0.165418935488,0.389530288562,0.83277609402
20,0.545077072597,0.566258107162,0.083162316178,0.545077072597,0.839481511106
21,0.274610785543,0.420739234469,0.175294340034,-0.274610785543,0.826302889748
22,0.108332744568,0.37475968893,0.193583902098,0.108332744568,0.827361500792
23,0.357968971457,0.448114859754,0.14139673344,0.357968971457,0.831067604883
24,0.512608142694,0.532183888567,0.094482159024,0.512608142694,0.83112351211
25,0.483786904194,0.523200936299,0.1166784879,0.483786904194,0.83229992099
26,0.389237767337,0.459464951397,0.147100354577,0.389237767337,0.831323607728
27,0.232927684973,0.403440480883,0.170601583135,0.232927684973,0.833937398736
28,0.321858156643,0.443617262396,0.170174110579,0.321858156643,0.832338366116
29,0.075718873037,0.390118963679,0.204994843437,0.075718873037,0.836835774743
30,0.378677138758,0.465853354476,0.14089010792,0.378677138758,0.83932291327
31,0.502451974582,0.573037657198,0.137210348374,0.502451974582,0.838628416001
32,0.393765652824,0.470691381335,0.143121458661,0.393765652824,0.82964220951
33,0.300538636915,0.435421782055,0.176527580648,0.300538636915,0.82918667343
34,0.384439243077,0.474475889741,0.156074331102,0.384439243077,0.834307486299
35,0.350115804224,0.417560540608,0.127459445138,0.350115804224,0.843049916413
36,0.437921548947,0.515345227957,0.150234992859,0.437921548947,0.836837012382
37,0.570724668524,0.582888623473,0.082467943828,0.570724668524,0.840502918325
38,0.562961644916,0.576911800123,0.080937545313,0.562961644916,0.836348805578
39,0.275113936206,0.44772735127,0.200887946338,0.275113936206,0.838061145423
40,0.390847664429,0.500619474608,0.179182039858,0.390847664429,0.825399830789
41,0.389887281929,0.461631522844,0.140148821473,0.389887281929,0.834448912275
42,0.343569853185,0.459614354054,0.175880531675,0.343569853185,0.832515117208
43,0.277103014906,0.436544331354,0.189495578796,-0.277103014906,0.840690211166
44,0.286337968419,0.435571750567,0.178226365476,-0.286337968419,0.829849502982
45,0.418616364538,0.47137007257,0.130549072746,-0.418616364538,0.834754003988
46,0.376066651691,0.445820339165,0.142534152087,-0.376066651691,0.837124238681
47,0.557861514196,0.571790085471,0.097700238559,-0.557861514196,0.834452299166
48,0.523301859084,0.570363282207,0.124708266837,-0.523301859084,0.839045029138
49,0.385185807825,0.462857962791,0.128229872156,-0.385185807825,0.839917465046
50,0.447010198196,0.527591531631,0.150119324786,-0.447010198196,0.831022527265
51,0.311212544092,0.413726532871,0.140844251867,-0.311212544092,0.836159304419
52,0.498877930874,0.545782026358,0.125230217421,-0.498877930874,0.829008607436
53,0.363738483866,0.428739292076,0.118698286525,-0.363738483866,0.830956822313
54,0.313477379614,0.43257728708,0.166715785161,-0.313477379614,0.833997191685
55,0.441502083338,0.472731836004,0.09605966671,-0.441502083338,0.824531670563
56,0.271876365318,0.443052172642,0.196487345778,-0.271876365318,0.834450912657
57,0.357406388736,0.463085174455,0.155270345767,-0.357406388736,0.832023389796
58,0.373484592408,0.492733367877,0.185519688311,-0.373484592408,0.835159372855
59,0.400913605014,0.464951210422,0.123791849603,-0.400913605014,0.834328896501
60,0.299053665587,0.428636836448,0.159721019241,-0.299053665587,0.834877785379
61,0.061713293195,0.398157357499,0.214549541564,-0.061713293195,0.836938995131
62,0.386337391635,0.487601761181,0.170484534074,0.386337391635,0.834425091046
63,0.245069806962,0.451662865299,0.215474620341,-0.245069806962,0.830757810172
