k,r_k_median,r_k_median_passing,fidelity_coverage,incompat_fraction,mean_minority
10,0.01834164798763153,0.01834164798763153,1.0,0.0343,0.012474
15,0.022275585953898336,0.022275585953898336,1.0,0.05474,0.016416
20,0.02728210188669543,0.02728210188669543,1.0,0.0615,0.020383
25,0.030870444570118907,0.030870444570118907,1.0,0.0686,0.021928000000000003
30,0.03262662324997892,0.03262662324997892,1.0,0.0675,0.022767333333333337
40,0.037038400885440304,0.037038400885440304,1.0,0.0821,0.02603
50,0.04277582706413249,0.04277582706413249,1.0,0.09588,0.0306012
