config_idx,W14_mean,W14_var,W23_mean,W23_var,W33_mean,W33_var
0,0.563778457209,0.094137869818,0.468932260681,0.130782412877,0.375273661224,0.165969141709
1,0.580327293064,0.084966996054,0.495845450118,0.118626118979,0.385661714298,0.156455915583
2,0.561050823947,0.098625420317,0.471630778503,0.132688646445,0.365580597175,0.16242529443
3,0.571256763198,0.094118074234,0.485829901656,0.125248250411,0.365952580022,0.165938193467
4,0.574542305522,0.091897616284,0.498799361419,0.116595832018,0.394857517893,0.156323869677
5,0.591466371977,0.087838817269,0.494794473497,0.12010434891,0.402657400435,0.154953425192
6,0.554193699177,0.105664765864,0.467464115996,0.128428784615,0.36101772173,0.165483426845
7,0.551519580712,0.100527626163,0.457127194225,0.138451945351,0.337070913446,0.175078367556
8,0.568625302173,0.095756021667,0.476872578915,0.126887452305,0.371083858328,0.165946137516
9,0.583114210642,0.089104662106,0.487925745389,0.122036042599,0.385858648877,0.162400047195
10,0.571786222149,0.090341099263,0.47566629444,0.127644096465,0.360121944513,0.167066177883
11,0.562629852002,0.098444589687,0.457745703629,0.136332608747,0.342670414262,0.177922487427
12,0.566801437549,0.093602353838,0.469254506699,0.125746831539,0.357253726782,0.161923107976
13,0.556633882038,0.101588982193,0.456658036628,0.134230780697,0.351075765254,0.176792162685
14,0.553328046923,0.100874716582,0.468115488672,0.129750934295,0.366362637321,0.167253497016
15,0.557676150441,0.102215090035,0.44938093982,0.143854475861,0.31743237217,0.185450470704
16,0.553951588257,0.100098837038,0.451970476719,0.131180532535,0.339052594333,0.178422382274
17,0.570966605226,0.095088147788,0.464462004675,0.136476631662,0.350832704079,0.173718893878
18,0.569724233016,0.091219169934,0.457467725159,0.132398385265,0.360586810427,0.17290543734
19,0.568569270881,0.095211648924,0.471592930189,0.134498174139,0.365415818593,0.171855136109
20,0.55044993335,0.098701867003,0.451764072237,0.132691010627,0.326302435835,0.169500941966
21,0.561791997027,0.099225135612,0.462049340004,0.130600676283,0.356729357657,0.168741905485
22,0.576838851312,0.091089428993,0.49015499337,0.123016679896,0.392618543045,0.161190898907
23,0.544276125717,0.100568435341,0.434647553236,0.142189479674,0.314038048374,0.182252205038
24,0.548716914493,0.104400946497,0.440296033496,0.140082396909,0.330994584291,0.185628697107
25,0.533152987641,0.106793891947,0.426956969229,0.148699752355,0.299853884209,0.188622626644
26,0.575587666929,0.09493441969,0.471711032505,0.130779700268,0.367270597611,0.161419127486
27,0.559176394855,0.097634773158,0.440184662742,0.138078284067,0.31679908175,0.176497270276
28,0.576739692334,0.091589157292,0.472648253428,0.131672909579,0.37555489011,0.171058098344
29,0.567622174548,0.10105799981,0.476462394435,0.130982374507,0.366680182299,0.1645167897
30,0.559401610833,0.095325105759,0.451911238879,0.136459332486,0.333847995786,0.173573369778
31,0.574018720898,0.095571595819,0.479772445533,0.131283949481,0.389664610809,0.157974487073
