config_idx,W14_mean,W23_mean,W33_mean,gamma_held,clamped
0,0.563778457209,0.468932260681,0.375273661224,0.080837992514,0
1,0.580327293064,0.495845450118,0.385661714298,0.081887505421,0
2,0.561050823947,0.471630778503,0.365580597175,0.085604809775,0
3,0.571256763198,0.485829901656,0.365952580022,0.089492103639,0
4,0.574542305522,0.498799361419,0.394857517893,0.075237373224,0
5,0.591466371977,0.494794473497,0.402657400435,0.07625493842,0
6,0.554193699177,0.467464115996,0.36101772173,0.085750159164,0
7,0.551519580712,0.457127194225,0.337070913446,0.098719905348,0
8,0.568625302173,0.476872578915,0.371083858328,0.085220437994,0
9,0.583114210642,0.487925745389,0.385858648877,0.082238838221,0
10,0.571786222149,0.47566629444,0.360121944513,0.0924876622,0
11,0.562629852002,0.457745703629,0.342670414262,0.098960914078,0
12,0.566801437549,0.469254506699,0.357253726782,0.092201015763,0
13,0.556633882038,0.456658036628,0.351075765254,0.091822958699,0
14,0.553328046923,0.468115488672,0.366362637321,0.082404817541,0
15,0.557676150441,0.44938093982,0.31743237217,0.112952671524,0
16,0.553951588257,0.451970476719,0.339052594333,0.097997789829,0
17,0.570966605226,0.464462004675,0.350832704079,0.097097867181,0
18,0.569724233016,0.457467725159,0.360586810427,0.090523988513,0
19,0.568569270881,0.471592930189,0.365415818593,0.088149757474,0
20,0.55044993335,0.451764072237,0.326302435835,0.104887230574,0
21,0.561791997027,0.462049340004,0.356729357657,0.090467742828,0
22,0.576838851312,0.49015499337,0.392618543045,0.076709319462,0
23,0.544276125717,0.434647553236,0.314038048374,0.109858399505,0
24,0.548716914493,0.440296033496,0.330994584291,0.100623944367,0
25,0.533152987641,0.426956969229,0.299853884209,0.11531525542,0
26,0.575587666929,0.471711032505,0.367270597611,0.089350426859,0
27,0.559176394855,0.440184662742,0.31679908175,0.113323870509,0
28,0.576739692334,0.472648253428,0.37555489011,0.085075040053,0
29,0.567622174548,0.476462394435,0.366680182299,0.087385806308,0
30,0.559401610833,0.451911238879,0.333847995786,0.103054555609,0
31,0.574018720898,0.479772445533,0.389664610809,0.076833021553,0
