config_idx,W14_mean,W14_var,W23_mean,W23_var,W33_mean,W33_var
0,0.057999796252,0.519526921885,0.030933230405,0.521583635004,-0.041547734528,0.549530022919
1,0.076044012885,0.500797154832,0.022568000115,0.495289973452,-0.000689388901,0.477822830198
2,0.063796005776,0.498981377761,0.003824454816,0.515655236629,-0.013233559191,0.546235033895
3,-0.045191380936,0.496586624531,-0.012226467759,0.516532086821,-0.022346035802,0.519003129919
4,0.058624922904,0.49467148605,-0.013592904635,0.499248915688,0.050545719312,0.487938209725
5,0.066171162599,0.47415928048,-0.011373361542,0.549430848272,-0.058476909829,0.503995737547
6,0.083564973627,0.479544888215,0.018355310724,0.508638420536,-0.003681737047,0.47669751648
7,0.001348318306,0.504794559259,0.044880742546,0.53799468586,-0.017215595728,0.495268398831
8,0.045476784472,0.500673277349,0.044146139348,0.492574894644,0.047346745545,0.477564460511
9,0.0630385444,0.477882088402,0.026812657872,0.490179554163,0.030891604599,0.475978106089
10,0.049857639957,0.49477729686,-0.002444669738,0.478272534781,-0.036240587409,0.474159084688
11,0.052571076151,0.47858626546,-0.004147432038,0.512823772018,0.027755951178,0.50292322366
12,0.092477341655,0.479280995846,-0.015874735524,0.508859979495,-0.019650628851,0.516972763038
13,0.036576977389,0.533586428558,0.004020008824,0.484592900757,0.056267163733,0.451885143903
14,0.110501070929,0.499468871491,-0.026393423581,0.47116278713,-0.00678466338,0.491896921138
15,0.063566235571,0.497359899672,0.004235008527,0.497667083534,-0.013744137699,0.510826765331
16,0.038510394512,0.519418068428,0.002151307494,0.479845925253,-0.025456755114,0.478015318036
17,0.058092365708,0.490696556173,0.047524323167,0.49782627785,-0.030198105714,0.50252980851
18,0.055134458768,0.465216568566,-0.020936477262,0.498880676447,0.015473836995,0.49336503157
19,0.068384374305,0.504200573479,0.029948133595,0.511400987833,0.038249492702,0.493961965569
20,-0.010626481873,0.517301584249,0.03046213396,0.510685579062,-0.038355808825,0.488464716869
21,0.011129258432,0.495212435153,0.01262571336,0.51482853738,0.047040500251,0.503436051143
22,0.024535269155,0.516677088599,-0.060179073273,0.476752394981,-0.106674058104,0.457530511599
23,-0.005710953823,0.484045310045,-0.019284326693,0.480978720408,-0.017822433299,0.527698656333
24,0.035370947828,0.477821939974,-0.027078394602,0.497610029607,-0.059811585355,0.507784353849
25,0.071805364238,0.489855963291,0.036209395849,0.530022645926,-0.037715324115,0.528188809291
26,0.06658988365,0.505624157177,-0.011017599747,0.481854969402,-0.018445650179,0.457075288554
27,0.042591820441,0.505650669662,-0.005238727207,0.504934237255,0.099135085865,0.487431373823
28,0.026683139371,0.494972090307,-0.039878701798,0.511704922083,0.040807664651,0.515226539422
29,0.084408715109,0.502714146615,0.024978699305,0.483143825682,-0.045655607103,0.476051861529
30,0.1690448003,0.455312514239,0.024861011008,0.515453286274,0.006065877027,0.521993591263
31,0.025894249021,0.503274413229,-0.02314724826,0.4663047542,-0.041480952038,0.502811748142
