sample_idx,abs_mean_P,mean_abs_P,chi_P,mean_P,mean_plaquette
0,0.581371419173,0.613146627767,0.099260443391,0.581371419173,0.837590704808
1,0.4161032628,0.468634738489,0.130712770117,0.4161032628,0.840900721338
2,0.411324239642,0.512160275221,0.164020669911,0.411324239642,0.835522951861
3,0.420786025615,0.48418354663,0.130861579161,-0.420786025615,0.841107910639
4,0.401226420063,0.459862800689,0.117098069616,-0.401226420063,0.842028617714
5,0.419886439953,0.470699320901,0.11871473832,-0.419886439953,0.838891616895
6,0.44615489615,0.505665244997,0.135178898696,-0.44615489615,0.842054229494
7,0.477647347106,0.514102562467,0.116531361256,-0.477647347106,0.8394594062
8,0.48672884013,0.53200661168,0.116071989781,-0.48672884013,0.839633304692
9,0.293987181505,0.413816456906,0.1547131592,0.293987181505,0.84091328963
10,0.311581507191,0.444712178316,0.168236488104,0.311581507191,0.841918682322
11,0.525727402747,0.560064241674,0.105385582377,0.525727402747,0.839985839864
12,0.239323706873,0.49015973655,0.262814712178,0.239323706873,0.834519051845
13,0.595702636431,0.601286491505,0.069457944503,0.595702636431,0.837793860958
14,0.196163120094,0.411425971694,0.207119468247,0.196163120094,0.835853712343
15,0.331612037918,0.478045188293,0.200502692828,0.331612037918,0.841590538445
16,0.535993531486,0.570944858192,0.103959089195,0.535993531486,0.839213953656
17,0.351904668105,0.448619523849,0.155204353735,0.351904668105,0.84474571051
18,0.427176034759,0.479161216199,0.114299942699,0.427176034759,0.84103066978
19,0.067589036347,0.408430216373,0.233615995985,-0.067589036347,0.842486841825
20,0.296569728774,0.428889046755,0.162078391462,0.296569728774,0.840936223676
21,0.37116406816,0.478696614173,0.17299230607,0.37116406816,0.831757471049
22,0.372627454838,0.48641487452,0.16298744842,0.372627454838,0.836211024691
23,0.457678314954,0.51138064048,0.129831717203,0.457678314954,0.843728501756
24,0.177856438835,0.448118075252,0.235914137906,0.177856438835,0.841617961707
25,0.550164548524,0.566304620495,0.094660389373,0.550164548524,0.841628365667
26,0.492174661395,0.519566463722,0.107056215553,0.492174661395,0.83662625892
27,0.413788186331,0.474594353739,0.138430049383,0.413788186331,0.833065148092
28,0.519382569882,0.557446862087,0.115749718996,0.519382569882,0.837013598734
29,0.007647668016,0.445998396219,0.267474113339,0.007647668016,0.834924182049
30,0.495968129404,0.528038795659,0.105569783696,-0.495968129404,0.841248254108
31,0.604184471935,0.621695667659,0.085697146153,-0.604184471935,0.842720261923
32,0.241234813327,0.41721333553,0.183544540348,-0.241234813327,0.834799030429
33,0.109211854536,0.42328633815,0.250476716772,-0.109211854536,0.839853308684
34,0.389177246668,0.447954163768,0.115865853128,0.389177246668,0.84354815469
35,0.444994722085,0.50011577949,0.129962798325,0.444994722085,0.843251273946
36,0.523202497519,0.565745148821,0.117606746084,0.523202497519,0.843212968932
37,0.423352147483,0.507966084637,0.156415229335,0.423352147483,0.838930075127
38,0.043662041251,0.37538983135,0.20006923014,0.043662041251,0.84014178256
39,0.387743033451,0.515465247038,0.191919786341,0.387743033451,0.843514954822
40,0.055173131676,0.385009318835,0.19536429256,0.055173131676,0.83336506453
41,0.38109689814,0.503443362454,0.170779118816,-0.38109689814,0.84179280964
42,0.252644717739,0.444660775467,0.202798498232,-0.252644717739,0.834896670938
43,0.521228974112,0.535919195334,0.08399401811,-0.521228974112,0.841148149016
44,0.374994121864,0.473554804815,0.163246331086,-0.374994121864,0.844135148079
45,0.534537317579,0.580361153452,0.118880167048,-0.534537317579,0.837387244987
46,0.084649786721,0.416459613415,0.240362263394,-0.084649786721,0.842706029894
47,0.210669706595,0.400826294316,0.18805844356,0.210669706595,0.843219954306
48,0.480017544311,0.529942879507,0.13546514316,0.480017544311,0.833985463547
49,0.514048167652,0.559670789717,0.124348518846,0.514048167652,0.834727889486
50,0.459689177084,0.525399773679,0.151366319777,0.459689177084,0.837037028157
51,0.601219765788,0.615275078993,0.080158115215,0.601219765788,0.843648372187
52,0.438362643633,0.51898209885,0.162107465737,0.438362643633,0.842389269995
53,0.492090849296,0.498579538467,0.080355793095,0.492090849296,0.836159061045
54,0.369297113956,0.533166580994,0.218627667087,0.369297113956,0.839121909061
55,0.451494258526,0.478658797033,0.098469695403,0.451494258526,0.847295614912
56,0.478650232921,0.511775600388,0.101800859621,0.478650232921,0.836790966873
57,0.536398349092,0.563369547182,0.094702803039,0.536398349092,0.836856213537
58,0.026133695451,0.383518278903,0.205667099862,0.026133695451,0.841437212779
59,0.442926370167,0.506188503503,0.137144674242,0.442926370167,0.846527128843
60,0.432224421381,0.519922246412,0.154511146701,0.432224421381,0.842052848769
61,0.128644231881,0.416151467819,0.210801409732,0.128644231881,0.848340074332
62,0.4247509726,0.478716478911,0.119377361745,0.4247509726,0.842500918063
63,0.596542661531,0.61671006284,0.086186391152,0.596542661531,0.841700866371
64,0.159372477369,0.389117372408,0.191971382065,0.159372477369,0.834831604652
65,0.092300253101,0.400942709725,0.216051990467,0.092300253101,0.838744661554
66,0.393176251222,0.47643157071,0.142940297749,0.393176251222,0.839817330199
67,0.302519889701,0.437190723909,0.164362526422,0.302519889701,0.842648083545
68,0.383106384255,0.499077135253,0.168378647236,0.383106384255,0.8397134322
69,0.480067923629,0.558210810159,0.158678766114,-0.480067923629,0.840541524823
70,0.482346239999,0.532519032945,0.129268953509,-0.482346239999,0.840177583598
71,0.348210022092,0.454723447434,0.155378723261,-0.348210022092,0.838964756963
72,0.44427116275,0.491559353491,0.116041571822,-0.44427116275,0.841702979699
73,0.37365559583,0.452004033712,0.127720559577,-0.37365559583,0.841957110622
74,0.480904913347,0.52687608885,0.115406706626,-0.480904913347,0.844412467475
75,0.201342236009,0.412741911487,0.188997792143,-0.201342236009,0.844904045446
76,0.296120719108,0.475825525274,0.223966363613,-0.296120719108,0.838085296418
77,0.400264062535,0.502704940711,0.155307476104,-0.400264062535,0.84017771436
78,0.423930307347,0.509544011516,0.157210704499,-0.423930307347,0.841815931425
79,0.453536434759,0.514059002124,0.133635513408,-0.453536434759,0.836411044137
80,0.473686253339,0.519186735415,0.121398111443,-0.473686253339,0.835518030144
81,0.024887565981,0.386135407483,0.218904862448,0.024887565981,0.841546525826
82,0.504904272464,0.553405906338,0.118922047271,0.504904272464,0.836474032688
83,0.616232082026,0.623077147821,0.060349069649,0.616232082026,0.843935508901
84,0.567078736255,0.5866826522,0.091945722425,0.567078736255,0.844713710873
85,0.449269531576,0.495620501077,0.120731305725,0.449269531576,0.844487444858
86,0.065242549616,0.389968386077,0.21165765708,0.065242549616,0.836889711978
87,0.083652598285,0.406366484198,0.231981055658,-0.083652598285,0.840273662016
88,0.092663558186,0.416274988211,0.222047249593,-0.092663558186,0.843080944291
89,0.333447560686,0.474084916305,0.184153704696,-0.333447560686,0.842241641197
90,0.396705777905,0.489000010518,0.149965627657,-0.396705777905,0.835059847984
91,0.368609246931,0.434536994008,0.129142410381,-0.368609246931,0.840082924836
92,0.469133719846,0.522827358753,0.127482610887,-0.469133719846,0.837636398205
93,0.540627443693,0.556556892311,0.071574689957,-0.540627443693,0.83391234842
94,0.306445985679,0.426927626813,0.170302850652,-0.306445985679,0.84210353334
95,0.206212437388,0.376565440024,0.158890847631,-0.206212437388,0.834798352376
