config_idx,W11_mean,W11_var,W12_mean,W12_var,W13_mean,W13_var,W22_mean,W22_var
0,0.52918776842,0.12596927388,0.28334919293,0.202122686619,0.149342520292,0.2329512311,0.072128063694,0.244766379237
1,0.534282236693,0.123638753588,0.308067853937,0.198993300253,0.179227649863,0.229328958326,0.107331090297,0.249985485755
2,0.554167549826,0.117030002953,0.311416921988,0.200359729155,0.177645861384,0.235122092984,0.099280517627,0.241943494924
3,0.5229873409,0.132232617001,0.269161453104,0.210265156169,0.137892810359,0.235508138928,0.091628012899,0.245009515153
4,0.553663929652,0.112575106325,0.318968591876,0.189639171419,0.186762351297,0.2279237054,0.099030799971,0.234612054886
5,0.546288138366,0.116601314001,0.295161670266,0.200869719013,0.170945536096,0.242219509402,0.097032736894,0.253559966667
6,0.537040307786,0.122502742627,0.300836156527,0.199613131044,0.176869307855,0.230147034286,0.094968573138,0.237460874856
7,0.523979262484,0.115580103777,0.288974455864,0.200394290022,0.153117723451,0.235456436447,0.110582720016,0.237139449737
8,0.527786926749,0.126227446146,0.278652458649,0.198011869587,0.147192061025,0.236242027477,0.077859272603,0.256705614941
9,0.53860843393,0.125955256068,0.291963222534,0.199667568945,0.162510987602,0.237273621907,0.088000068155,0.240700449683
10,0.537542837468,0.126798725081,0.292998056831,0.200125495332,0.155807160409,0.236629795719,0.099630303256,0.249387772443
11,0.532421127049,0.125335868065,0.278835897861,0.199812170192,0.153154736379,0.230771263579,0.073619477829,0.240768354858
12,0.541406704481,0.121226375654,0.300930304958,0.200580262295,0.174434626548,0.230903410521,0.092911040968,0.227507920231
13,0.529035478324,0.12435853501,0.276792171306,0.205160328273,0.144729694072,0.226806659566,0.091305063775,0.247862941093
14,0.5285247002,0.122582865944,0.28362356628,0.199587372657,0.160257677876,0.234494133864,0.067649881121,0.253621087194
15,0.533339356165,0.119279702567,0.304614469226,0.195626456437,0.170242664599,0.230554291864,0.098317642461,0.239213579204
16,0.510801885916,0.129323989546,0.266246611238,0.202759660786,0.147221456108,0.234880113316,0.063231878001,0.254376195555
17,0.514503064783,0.127211668362,0.258944055309,0.207048801362,0.135272744537,0.234381787942,0.060985835616,0.235101949021
18,0.533621231996,0.126529817965,0.294148199742,0.19620191313,0.1527235378,0.223948272894,0.108774725649,0.24154119978
19,0.527144266439,0.122968869165,0.278358099461,0.207557653265,0.128222779387,0.244838674598,0.093014237361,0.24206603972
20,0.532731255439,0.119575916539,0.288162326948,0.203463533556,0.154425328431,0.241564237034,0.09573117992,0.238106304441
21,0.516048724667,0.131060650934,0.261514778515,0.214077268933,0.135389489469,0.237705423596,0.061607072724,0.244268540801
22,0.520722420009,0.12497917707,0.28266510399,0.207403509957,0.148378711623,0.236539569152,0.091828009846,0.236170409398
23,0.547173200809,0.123704075679,0.303273875228,0.207278955463,0.166126715799,0.239252860798,0.102468947616,0.245928755565
24,0.536788007759,0.124276303936,0.301130159656,0.205144591459,0.175003380127,0.234006452321,0.095607847641,0.258955612834
25,0.543016901273,0.116508965701,0.307932927523,0.196650517692,0.17839003025,0.237533559527,0.100271716183,0.234381764526
26,0.529438442293,0.125853859977,0.28279112915,0.199061438659,0.154768950604,0.233279142276,0.087869481496,0.245558544151
27,0.524524838554,0.120420298743,0.272908566271,0.198552772772,0.143320933792,0.230537397551,0.086051975286,0.232973937828
28,0.531445061781,0.122210238135,0.274454408978,0.207481275906,0.147628217382,0.239495956587,0.076511601877,0.2454816179
29,0.543913691735,0.11482807797,0.299880815862,0.198159956483,0.162288749621,0.229625559369,0.084777035039,0.231349489289
30,0.52452769004,0.128986279001,0.269562372038,0.208611165131,0.139307257217,0.233602557537,0.08226707708,0.241270815057
31,0.543503678134,0.124552057327,0.292526243303,0.19931692209,0.149733897936,0.235604323752,0.070267154392,0.242750609326
