config_idx,W11_mean,W11_var,W12_mean,W12_var,W13_mean,W13_var,W22_mean,W22_var
0,0.594161740127,0.096351314322,0.357748226123,0.177081084376,0.207681864305,0.219007823156,0.129403339365,0.238621184971
1,0.604269962971,0.095439988536,0.373693825284,0.173380603805,0.235272114185,0.211746451778,0.156858331644,0.229159967039
2,0.605258162704,0.094907160684,0.375462937385,0.168022849782,0.232062501598,0.217016908524,0.155313235591,0.220538824888
3,0.589621854662,0.099144360858,0.358674725953,0.177695151166,0.226296449932,0.21935428128,0.14808642935,0.23199224726
4,0.602060344763,0.095064472458,0.37439202871,0.171200109463,0.233297212854,0.213267868984,0.155866903955,0.227221118883
5,0.604803436058,0.092819294729,0.380390726959,0.172491633259,0.237550340096,0.217727116164,0.159384903077,0.229590647494
6,0.598176935836,0.095395959922,0.367449268274,0.174196106219,0.228103718333,0.213657599254,0.143472581723,0.237921021088
7,0.591384656683,0.097381763275,0.356397346519,0.177261869298,0.206416963331,0.217751906665,0.133259478098,0.238202054928
8,0.598319834809,0.095317950478,0.36222440208,0.175578371959,0.220342282879,0.216877303457,0.152881812864,0.233434789015
9,0.602914135658,0.093716136677,0.370346626561,0.177186565797,0.229842980087,0.214684898963,0.154229384705,0.239476279538
10,0.595565577498,0.095740376678,0.358885101846,0.176187675106,0.21191323401,0.217754332663,0.135311274386,0.235401736093
11,0.593223527602,0.097294690237,0.361326573205,0.174815954618,0.218227311344,0.217100793852,0.144548776865,0.232870398759
12,0.603777474307,0.094227593294,0.368962399037,0.174124418149,0.220798310806,0.218886413016,0.139016940911,0.240579855398
13,0.591314687335,0.097825956852,0.361002486399,0.177325377019,0.217081819604,0.216444935157,0.141039361155,0.236323194897
14,0.592946267887,0.09853196039,0.360229314473,0.177584365984,0.219913479365,0.225462247866,0.133250220888,0.232929839155
15,0.602107907997,0.092824562123,0.371268437063,0.173351178837,0.231186039487,0.212743345681,0.143172638192,0.232383750548
16,0.606753379538,0.094426656938,0.382668921499,0.168985958029,0.242189295503,0.208821333861,0.159447937584,0.235008310068
17,0.589391158152,0.098305805794,0.359019930621,0.175646485809,0.218248243577,0.221677529159,0.141073509894,0.232885334975
18,0.593669212136,0.095652822828,0.369044068481,0.17038612854,0.236990823347,0.214715508432,0.152899769719,0.232762397162
19,0.597081824095,0.096296750357,0.364925467109,0.177633024971,0.221511352462,0.220164016495,0.131894789968,0.23307959014
20,0.586955573736,0.098611791489,0.349698940531,0.17809784084,0.208351328775,0.220062803059,0.12959351465,0.239566241793
21,0.591662919863,0.097441439971,0.3539257118,0.176124842917,0.21587863682,0.220132473232,0.12986211024,0.229526102235
22,0.59198796981,0.099119106467,0.361309242736,0.17763164674,0.219276678206,0.215119396829,0.140938877575,0.233433835185
23,0.591899119805,0.100248068075,0.357849652033,0.179235769103,0.22407622019,0.217593076031,0.133781311619,0.237609308758
24,0.59752834458,0.09778338713,0.357298894831,0.174955540721,0.217701556702,0.21903489668,0.125623818396,0.231406254861
25,0.59976537765,0.097848248267,0.372221292787,0.17672771309,0.233510119942,0.215542052913,0.150988192675,0.234809531478
26,0.596778578773,0.093535720694,0.362464825536,0.174325783197,0.221395244583,0.214379959631,0.142643050678,0.23560895557
27,0.596676608787,0.10031213978,0.366683053395,0.17921205964,0.231119370003,0.218620240303,0.145453717903,0.230330405245
28,0.606642308971,0.095378202604,0.376323206553,0.17036024897,0.232753750522,0.214935906946,0.159089068761,0.236778323451
29,0.592764448378,0.099216300786,0.356437558772,0.177667364905,0.216031573699,0.220566255585,0.135483003974,0.239534542024
30,0.592725069397,0.097151829291,0.352682091746,0.176293465403,0.219842189797,0.213855349108,0.131734910156,0.240399064846
31,0.592579330257,0.099192620717,0.357327484298,0.175634611416,0.211149509242,0.220303888967,0.131495058712,0.237833498461
