sweep_index,mean_plaquette
0,0.493181958203
1,0.484658073853
2,0.475655492374
3,0.469489882973
4,0.426903075915
5,0.448027734119
6,0.446925305462
7,0.425972088361
8,0.416214608951
9,0.381543550334
10,0.405150886868
11,0.450828690135
12,0.486960765483
13,0.527089795724
14,0.495397451849
15,0.472075911277
16,0.468382505687
17,0.494088416639
18,0.509650859604
19,0.510780622946
20,0.467214572901
21,0.472416443445
22,0.458606872271
23,0.446938288529
24,0.434436873369
25,0.437570824612
26,0.446408260343
27,0.424782090047
28,0.400343988288
29,0.417566725216
30,0.33756445956
31,0.393401637958
32,0.409363398878
33,0.379578665494
34,0.415471002972
35,0.46153292834
36,0.408501502834
37,0.435177800254
38,0.483552287485
39,0.472981173548
40,0.460329901008
41,0.486522058244
42,0.459855907885
43,0.44624637852
44,0.462316883143
45,0.440089705976
46,0.395012628909
47,0.3768808008
48,0.410275371845
49,0.380334098634
50,0.395026235077
51,0.350919365139
52,0.365086317216
53,0.421874451454
54,0.444194191104
55,0.386111109744
56,0.411851449521
57,0.428117114662
58,0.432643858008
59,0.443226733102
60,0.446643409132
61,0.433102439068
62,0.437876917268
63,0.456248444334
64,0.467251826264
65,0.44918902105
66,0.417534911606
67,0.462277330373
68,0.467141991515
69,0.429378956871
70,0.373051197892
71,0.417922956894
72,0.414674910861
73,0.410945997764
74,0.375615972982
75,0.400304227849
76,0.419369532006
77,0.446263040541
78,0.396350801149
79,0.360680441569
80,0.354977343238
81,0.29761559229
82,0.32688223002
83,0.404952607782
84,0.420120387113
85,0.438974057332
86,0.451394774105
87,0.47681687436
88,0.493124485036
89,0.459139522041
90,0.482856853687
91,0.48806487709
92,0.467380098449
93,0.482493831443
94,0.463522253696
95,0.480701669595
96,0.484153110205
97,0.415067105588
98,0.43139427505
99,0.478115305609
100,0.473150018877
101,0.436797843241
102,0.433476159844
103,0.372202575564
104,0.413743689856
105,0.395037621305
106,0.456192163913
107,0.452737468404
108,0.444451713643
109,0.413877353788
110,0.426118586688
111,0.400512306383
112,0.437526237384
113,0.424037260431
114,0.423071956105
115,0.431458928839
116,0.443041571163
117,0.452278513678
118,0.459294027484
119,0.428146838363
120,0.507694083659
121,0.464066650875
122,0.446706353941
123,0.435863732744
124,0.428278254181
125,0.421210143909
126,0.430705038479
127,0.392770393323
128,0.362235224719
129,0.385886309923
130,0.40162026101
131,0.386384729246
132,0.371679188947
133,0.355348549899
134,0.465683462498
135,0.44279288227
136,0.406807870586
137,0.426977849088
138,0.42345381409
139,0.447795251785
140,0.439872893809
141,0.456531533219
142,0.459987790125
143,0.473779532368
144,0.470222826939
145,0.488414994856
146,0.507017070356
147,0.499681150117
148,0.524718569263
149,0.551212054786
150,0.523370113243
151,0.492157437581
152,0.521159766355
153,0.521720726019
154,0.480052891061
155,0.450932326314
156,0.479661539275
157,0.52498015485
158,0.494223839077
159,0.473969221769
160,0.459708475042
161,0.454707264786
162,0.431248982322
163,0.424934420355
164,0.460213544822
165,0.447738300076
166,0.439187179219
167,0.410318181098
168,0.431915053133
169,0.411183369932
170,0.374700238948
171,0.415921389632
172,0.439384359485
173,0.482262775349
174,0.465683601746
175,0.500188668839
176,0.472671078901
177,0.489150140216
178,0.488926173678
179,0.477980600653
180,0.497184747578
181,0.480315119703
182,0.454825329634
183,0.466517687942
184,0.471909715986
185,0.434388989259
186,0.406447606443
187,0.402113504929
188,0.386690470776
189,0.422171655462
190,0.38538337488
191,0.341567057123
192,0.347332037451
193,0.406996512593
194,0.432172666706
195,0.48923702653
196,0.434067684186
197,0.404508978013
198,0.411831508355
199,0.413850831712
200,0.465058799647
201,0.474741953886
202,0.467667922881
203,0.416109682852
204,0.36000379449
205,0.415673654849
206,0.428184253384
207,0.441255172977
208,0.465868477749
209,0.477209712087
210,0.440986043051
211,0.482328428981
212,0.451270853337
213,0.430455938507
214,0.438596946712
215,0.444366657067
216,0.469762984766
217,0.457546786284
218,0.454635646979
219,0.451547417134
220,0.425528972025
221,0.382785092822
222,0.398673533626
223,0.412988478063
224,0.409731734253
225,0.407108264252
226,0.424358934133
227,0.410881748688
228,0.43350744677
229,0.452131120631
230,0.432179105776
231,0.423356099152
232,0.431747684506
233,0.417268615227
234,0.424845824472
235,0.438822148798
236,0.465505185693
237,0.437452589055
238,0.456430728072
239,0.427041425372
240,0.420275267269
241,0.431895099751
242,0.395959709593
243,0.431759162054
244,0.475410539214
245,0.444898608719
246,0.411348770575
247,0.436781001938
248,0.429523025213
249,0.39310915658
250,0.357273065847
251,0.365057490527
252,0.376555908997
253,0.422805190883
254,0.400877318003
255,0.412739675283
256,0.400825928057
257,0.394594524171
258,0.428781754719
259,0.420082810495
260,0.405640693775
261,0.420935059139
262,0.458650783465
263,0.426266535586
264,0.46113463564
265,0.432233971178
266,0.445260807682
267,0.476685070048
268,0.490641959849
269,0.453589767761
270,0.484720145852
271,0.471120642321
272,0.469034986509
273,0.481093896539
274,0.46565871253
275,0.484967465008
276,0.471615728391
277,0.416471318857
278,0.458724125604
279,0.455602591349
280,0.461676586437
281,0.455955850326
282,0.505894006597
283,0.450495903985
284,0.458074962422
285,0.452856234051
286,0.456846607145
287,0.500995439765
288,0.513691995216
289,0.5061548484
290,0.498125624093
291,0.463332103104
292,0.428161938632
293,0.43951360967
294,0.446395670864
295,0.448135438686
296,0.425921120752
297,0.468561797598
298,0.457302406966
299,0.44842075179
300,0.446082002781
301,0.4560106305
302,0.45230860127
303,0.448107021623
304,0.431093193342
305,0.416852019211
306,0.395743393287
307,0.405050002385
308,0.382340689263
309,0.389667575353
310,0.411387088273
311,0.391978208255
312,0.398104446765
313,0.366946622038
314,0.41023377502
315,0.410333929502
316,0.46737433636
317,0.481448488832
318,0.468167659872
319,0.421966803685
320,0.448947877656
321,0.418665555451
322,0.448377528458
323,0.418706792082
324,0.421939429529
325,0.447534733455
326,0.426069234682
327,0.408684739385
328,0.454049203212
329,0.480196301147
330,0.43568761185
331,0.455515191188
332,0.426428282983
333,0.467222841468
334,0.39142342571
335,0.357522587418
336,0.381811632697
337,0.44389904462
338,0.433356174932
339,0.422012544279
340,0.428055968086
341,0.406537086533
342,0.439856514295
343,0.49419228388
344,0.491050904091
345,0.530100160342
346,0.472385555746
347,0.463369714801
348,0.505784089233
349,0.500388579975
350,0.457006464998
351,0.419581244053
352,0.462896068542
