config_idx,transform_id,normalized_l2_raw_residual
0,identity,7.532926967022e-17
0,random_0,1.415964782686
0,random_1,1.41022616658
0,random_2,1.405283989734
0,random_3,1.416465675131
0,random_4,1.440489098014
0,random_5,1.405370251812
0,random_6,1.42306555253
0,random_7,1.421097427996
1,identity,7.948966572970e-17
1,random_0,1.418122588016
1,random_1,1.409268056394
1,random_2,1.386266728227
1,random_3,1.418054559082
1,random_4,1.422070306436
1,random_5,1.431017009337
1,random_6,1.415441087994
1,random_7,1.42432106197
2,identity,8.049229137367e-17
2,random_0,1.39242254175
2,random_1,1.401831333107
2,random_2,1.400214458289
2,random_3,1.391492134236
2,random_4,1.39532049966
2,random_5,1.416030188349
2,random_6,1.397911483312
2,random_7,1.428482305177
3,identity,8.239836705285e-17
3,random_0,1.428064240191
3,random_1,1.423666057345
3,random_2,1.434324575082
3,random_3,1.407701068681
3,random_4,1.410718347602
3,random_5,1.419496341634
3,random_6,1.448448075507
3,random_7,1.424981007261
4,identity,7.320506403093e-17
4,random_0,1.431653102663
4,random_1,1.410874565283
4,random_2,1.427701362004
4,random_3,1.432173742913
4,random_4,1.417349576096
4,random_5,1.429073814643
4,random_6,1.4127090763
4,random_7,1.414003178062
5,identity,7.672912112714e-17
5,random_0,1.420949037565
5,random_1,1.411113454965
5,random_2,1.439083199702
5,random_3,1.414634564012
5,random_4,1.43305955277
5,random_5,1.404491361944
5,random_6,1.409224191507
5,random_7,1.410270931398
6,identity,7.909642477956e-17
6,random_0,1.411969710151
6,random_1,1.437677090928
6,random_2,1.418160169524
6,random_3,1.386096828835
6,random_4,1.412385608795
6,random_5,1.407889334192
6,random_6,1.401474741452
6,random_7,1.403799562286
7,identity,8.048268872269e-17
7,random_0,1.410052664249
7,random_1,1.400746589419
7,random_2,1.428368374477
7,random_3,1.415375468598
7,random_4,1.429412519731
7,random_5,1.43067465294
7,random_6,1.406508537539
7,random_7,1.405069118319
8,identity,8.643873853499e-17
8,random_0,1.415586604846
8,random_1,1.411446686438
8,random_2,1.373791553338
8,random_3,1.41939651833
8,random_4,1.412793274035
8,random_5,1.396935070472
8,random_6,1.419172370702
8,random_7,1.387608584234
9,identity,7.363237858445e-17
9,random_0,1.418829459299
9,random_1,1.399820632588
9,random_2,1.38180352107
9,random_3,1.430754654804
9,random_4,1.392857958166
9,random_5,1.412779885526
9,random_6,1.432032831848
9,random_7,1.426560305783
10,identity,8.754823765282e-17
