config_idx,transform_id,normalized_l2_raw_residual
0,identity,8.012924796119e-17
0,random_0,1.431116648264
0,random_1,1.419427526116
0,random_2,1.4179804638
0,random_3,1.413739974471
0,random_4,1.396465585441
0,random_5,1.411407229884
0,random_6,1.40080221272
0,random_7,1.413546006108
1,identity,7.518363227960e-17
1,random_0,1.425743563002
1,random_1,1.406193501551
1,random_2,1.401635902135
1,random_3,1.407915816673
1,random_4,1.421938680179
1,random_5,1.413733755007
1,random_6,1.398005351745
1,random_7,1.392296131038
2,identity,8.136191686660e-17
2,random_0,1.410096883606
2,random_1,1.415679221274
2,random_2,1.419143348313
2,random_3,1.436188843516
2,random_4,1.417988046772
2,random_5,1.402689832106
2,random_6,1.404646338198
2,random_7,1.411721789605
3,identity,7.823824789526e-17
3,random_0,1.422515653166
3,random_1,1.423279281035
3,random_2,1.423263563051
3,random_3,1.414225886633
3,random_4,1.415977544947
3,random_5,1.415443642542
3,random_6,1.407154700566
3,random_7,1.415866026045
4,identity,8.231853746957e-17
4,random_0,1.410960208416
4,random_1,1.425239469863
4,random_2,1.412765661274
4,random_3,1.415093068064
4,random_4,1.429381062326
4,random_5,1.426694281549
4,random_6,1.414863669327
4,random_7,1.401020105053
5,identity,7.979180094498e-17
5,random_0,1.417729110409
5,random_1,1.407697461414
5,random_2,1.410382513501
5,random_3,1.393440506379
5,random_4,1.422818116663
5,random_5,1.423335178728
5,random_6,1.408414519393
5,random_7,1.418244116549
6,identity,8.112100435876e-17
6,random_0,1.405893389276
6,random_1,1.402144563536
6,random_2,1.410593016018
6,random_3,1.400912519342
6,random_4,1.418937950274
6,random_5,1.427502193327
6,random_6,1.416006037119
6,random_7,1.41342032034
7,identity,7.981788937855e-17
7,random_0,1.422100948982
7,random_1,1.406968043093
7,random_2,1.41186330802
7,random_3,1.421023279234
7,random_4,1.418466783353
7,random_5,1.409082778173
7,random_6,1.423023932333
7,random_7,1.418120336477
8,identity,7.866080586129e-17
8,random_0,1.421858954855
8,random_1,1.408081329413
8,random_2,1.406738321746
8,random_3,1.429094654005
8,random_4,1.410241391008
8,random_5,1.418818606438
8,random_6,1.420461178657
8,random_7,1.399423951145
9,identity,8.042499618923e-17
9,random_0,1.418478765523
9,random_1,1.419135197431
9,random_2,1.43990624732
9,random_3,1.410139425267
9,random_4,1.420165004715
9,random_5,1.416408294553
9,random_6,1.418286233673
9,random_7,1.416784117248
10,identity,8.119200695051e-17
10,random_0,1.408474073251
10,random_1,1.416816719567
10,random_2,1.404971577131
10,random_3,1.42183722026
10,random_4,1.410181320163
10,random_5,1.414749684855
10,random_6,1.40842756398
10,random_7,1.415139888743
11,identity,7.738545004764e-17
11,random_0,1.407106225898
11,random_1,1.430219519904
11,random_2,1.410258197059
11,random_3,1.416937761644
11,random_4,1.410100993761
11,random_5,1.411933820578
11,random_6,1.426651471402
11,random_7,1.412651139495
12,identity,7.802458070989e-17
12,random_0,1.411150906653
12,random_1,1.423891572429
12,random_2,1.410154764194
12,random_3,1.425324646437
12,random_4,1.410925043852
12,random_5,1.426164986256
12,random_6,1.411076558701
12,random_7,1.406330830465
13,identity,7.673412576456e-17
13,random_0,1.421748411144
13,random_1,1.419363953997
13,random_2,1.427125257075
13,random_3,1.443787961997
13,random_4,1.418929123854
13,random_5,1.417563727447
13,random_6,1.41727256428
13,random_7,1.423253525382
14,identity,8.062672818837e-17
14,random_0,1.415270525004
14,random_1,1.407641427796
14,random_2,1.410939377646
14,random_3,1.413371528242
14,random_4,1.427080224297
14,random_5,1.431018767661
14,random_6,1.395916132119
14,random_7,1.4097203114
