case_id,seed,regime,mass_ratio,timestep,radius_scale,velocity_scale,thrust_limit,sensor_noise_std,cell_class,signature_controller_mode,bayes_controller_mode,t_max,T_safe_signature,T_safe_bayes,regret,total_delta_v_signature,total_delta_v_bayes,fuel_excess,fuel_excess_reportable
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,1,0.01,1.075,1.15,0.4,0.01,off,track_sensor_accel_guarded,bayes_floor_particle_mpc,16,5.02,5.41,0.024375,0.44,0.404,0.036,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,1,near_escape,1,0.01,1.075,1.15,0.4,0.01,off,track_sensor_accel_guarded,bayes_floor_particle_mpc,16,4.91,5.68,0.048125,0.356,0.624,-0.268,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,1,0.01,1.075,1.15,0.4,0.01,off,track_sensor_accel_guarded,bayes_floor_particle_mpc,16,14.25,16,0.109375,1.012,1.4,-0.388,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,3,near_escape,1,0.01,1.075,1.15,0.4,0.01,off,track_sensor_accel_guarded,bayes_floor_particle_mpc,16,2.67,2.8,0.008125,0.204,0.44,-0.236,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,4,near_escape,1,0.01,1.075,1.15,0.4,0.01,off,track_sensor_accel_guarded,bayes_floor_particle_mpc,16,3.34,3.33,-0.000625,0.28,0.196,0.084,true
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,1,0.01,1.075,1.15,0.4,0.01,off,track_sensor_accel_guarded,bayes_floor_particle_mpc,16,3.8,3.68,-0.0075,0.296,0.18,0.116,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,6,near_escape,1,0.01,1.075,1.15,0.4,0.01,off,track_sensor_accel_guarded,bayes_floor_particle_mpc,16,4.12,3.96,-0.01,0.332,0.108,0.224,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,7,near_escape,1,0.01,1.075,1.15,0.4,0.01,off,track_sensor_accel_guarded,bayes_floor_particle_mpc,16,3.56,3.54,-0.00125,0.296,0.228,0.068,false
