beta,config_idx,W11_mean,W11_var,W12_mean,W12_var,W13_mean,W13_var,W22_mean,W22_var
2.0,0,0.979495863391,0.000794866907,0.929364025379,0.006106514831,0.867348804268,0.016925356323,0.769924345853,0.043853767344
2.0,1,0.97878990334,0.00060279493,0.926906103488,0.005375342237,0.863321449382,0.015572847325,0.762468082782,0.041270398931
2.0,2,0.977616153182,0.000856430777,0.923619096745,0.006274853549,0.857471335666,0.017272308743,0.7540691811,0.043308600187
2.0,3,0.977635838607,0.000474907389,0.922454676082,0.004709883525,0.854287214898,0.014636024625,0.74621161419,0.040085810115
2.0,4,0.977964531628,0.000921006561,0.925752155296,0.00646444326,0.863310316489,0.01698929717,0.76332564253,0.043147255566
2.0,5,0.976496271554,0.000847578164,0.920104537608,0.006365666669,0.851762561177,0.017225879339,0.743878603642,0.044440589361
2.0,6,0.977622137136,0.000887243071,0.923943314917,0.006708084133,0.859177326121,0.018129849742,0.756408058662,0.046422420508
2.0,7,0.974274831583,0.001217163243,0.91351092124,0.00807864485,0.840581944991,0.020895236282,0.725795817015,0.051105895555
2.0,8,0.975995680182,0.001489770471,0.91905970761,0.008705393443,0.849873955179,0.021804779381,0.74237373811,0.052753509269
2.0,9,0.981925629752,0.000442062932,0.937103076253,0.004041036273,0.881134003137,0.012010951854,0.791532023274,0.033386915232
2.0,10,0.978410520433,0.000555400529,0.925490377286,0.005176276578,0.860392071225,0.015578359705,0.757823499548,0.042550723067
2.0,11,0.978474222971,0.000763584285,0.926354753487,0.00634295248,0.86275652947,0.017668927556,0.762780297915,0.045938201119
2.0,12,0.978153891943,0.000773926453,0.925491012799,0.006346905827,0.861539017886,0.017961711358,0.760700934596,0.045960077893
2.0,13,0.979560204911,0.000597627664,0.929769568524,0.004943137851,0.869107649145,0.013911163787,0.77146734128,0.037303241716
2.0,14,0.980751588275,0.00042221081,0.933381068729,0.003971690783,0.874952193,0.011993305826,0.781300919642,0.032916924296
2.0,15,0.979099306885,0.00054842728,0.927725954569,0.004578669866,0.864042885695,0.01322953109,0.762611246995,0.035707698641
2.0,16,0.978065494951,0.000729425646,0.924537993719,0.005709349442,0.858163888249,0.01606448639,0.754126252906,0.042199631439
2.0,17,0.979785622504,0.000667343859,0.930557975383,0.005618184849,0.87004773546,0.015968815987,0.774167443504,0.041923357461
2.0,18,0.980848585135,0.000461754517,0.933542164017,0.004187070315,0.874520925158,0.012456441632,0.780547261217,0.03433276045
2.0,19,0.978080520713,0.000610282478,0.924064674717,0.005536788328,0.857262404744,0.016184282511,0.751979212405,0.043338280053
2.0,20,0.979051296553,0.000785456249,0.927996662155,0.005613755328,0.865067600368,0.015477764488,0.765041257837,0.040222043133
2.0,21,0.980794486754,0.000450493323,0.933343637137,0.004027849796,0.874198759831,0.012181260152,0.779851206666,0.033242552519
2.0,22,0.977121259535,0.000987468981,0.922241983712,0.006478846183,0.855395189627,0.017097643281,0.749779426257,0.042573588703
2.0,23,0.97786229273,0.000677291638,0.924494132263,0.0058718075,0.860057729607,0.016625977785,0.757457163777,0.04392031727
2.0,24,0.979519146003,0.000604074472,0.929292946222,0.00522482395,0.867450509716,0.015021661364,0.769420963025,0.039833599399
2.0,25,0.981216295354,0.000460715931,0.935039467961,0.004303463153,0.878249351154,0.01292867998,0.786748692663,0.035387766168
2.0,26,0.97711616183,0.000984528004,0.922017554476,0.006945652123,0.854662981852,0.018504439098,0.748684396392,0.046260108747
2.0,27,0.977809405241,0.001022474247,0.924657506095,0.006904437712,0.85973227289,0.017862437677,0.758343988085,0.044077650816
2.0,28,0.981240105954,0.000501951864,0.934815601693,0.004302098979,0.876705193702,0.012715716927,0.784263150196,0.034336463644
2.0,29,0.975844399541,0.00193383907,0.919398202507,0.009192823232,0.851115835921,0.021632103326,0.745194452695,0.050228994474
2.0,30,0.979952330807,0.000529235525,0.930544244092,0.004251992695,0.869225922097,0.01234851104,0.770998097178,0.033240956718
2.0,31,0.978340135702,0.000790379856,0.926293751068,0.006335124384,0.863079619957,0.017361375954,0.763556933212,0.044696976805
2.4,0,0.982385949834,0.000421678672,0.93840697048,0.003740212437,0.883042890794,0.011059821739,0.794688031808,0.030783364952
2.4,1,0.984335390775,0.00031629027,0.944748462952,0.003109108864,0.894261603049,0.00948649159,0.813620250794,0.026625443821
2.4,2,0.982495119234,0.000652813988,0.939261530792,0.004503829635,0.884674105267,0.012349118792,0.797838275959,0.032266030022
2.4,3,0.982643066995,0.000343392018,0.938840746829,0.00347021839,0.883082798078,0.01099961558,0.794633215084,0.031362327988
2.4,4,0.985077884077,0.000194817418,0.947272061215,0.002105092709,0.899243040475,0.00692665929,0.821283955067,0.020386123196
2.4,5,0.983948447574,0.000478429316,0.944254254052,0.004043850175,0.89468023667,0.011629200288,0.815187981751,0.031150184883
2.4,6,0.98261102971,0.000571114889,0.939222943075,0.003981317339,0.883996316912,0.011419377584,0.796691610482,0.030943365829
2.4,7,0.98321553692,0.000581914979,0.942247034336,0.00402325293,0.891403842266,0.010778155722,0.809903726319,0.028366112374
2.4,8,0.985805701019,0.0003962888,0.950233651718,0.0030504827,0.904646568618,0.008651154576,0.832169690394,0.022910608133
2.4,9,0.98250221847,0.000458057595,0.93930159508,0.004054249808,0.885703725204,0.011567560975,0.79929087457,0.032253847144
2.4,10,0.982808495995,0.000546114596,0.939887519521,0.004078537478,0.885485906879,0.011333742099,0.79906175472,0.030395850564
2.4,11,0.979745775471,0.00095638597,0.930647179324,0.006080660987,0.869952193351,0.016062959103,0.774382613363,0.040772306704
2.4,12,0.982231530163,0.00096330899,0.939742686167,0.005607929269,0.887760060952,0.014212457824,0.804326413678,0.035685146748
2.4,13,0.98216227421,0.000553529178,0.937427784868,0.004086756504,0.880358608945,0.011863117455,0.790180241228,0.031719218351
2.4,14,0.981000690185,0.00057861565,0.934595870104,0.004807976884,0.877319183664,0.01344555815,0.785896925714,0.036029268718
2.4,15,0.98239585717,0.00046682664,0.938251448021,0.004250438625,0.882266215567,0.012699485361,0.793708455138,0.035132967356
2.4,16,0.983468864445,0.000479774315,0.942419065082,0.003623296046,0.890920499456,0.010372557182,0.807915481709,0.02842979515
2.4,17,0.98479134425,0.000294599841,0.946563085551,0.003015896684,0.898228935513,0.009495223511,0.820725319846,0.026932251731
2.4,18,0.983781955534,0.000320418561,0.942910327741,0.002980568452,0.89090536624,0.009034117527,0.807624547106,0.025410498354
2.4,19,0.981322091377,0.000614797,0.935487368229,0.004313097361,0.878642575471,0.011841213223,0.787525018386,0.031841021944
2.4,20,0.982535983473,0.000704951845,0.94046985635,0.00484172736,0.888812897324,0.013034903694,0.806839368762,0.033662234798
2.4,21,0.982529777946,0.000574882573,0.939563627372,0.004648884986,0.886103209549,0.013064146236,0.801122166908,0.034467391267
2.4,22,0.983244628472,0.000554570042,0.941770073361,0.003877237389,0.889435460184,0.010603552019,0.805579096654,0.028427443743
2.4,23,0.981906115376,0.000534294999,0.937117437742,0.004566615158,0.881146773306,0.01346185943,0.792347171319,0.036290261729
2.4,24,0.98162765855,0.000778482965,0.936988268714,0.00517366615,0.881821006399,0.0139481864,0.793915957326,0.036236183003
2.4,25,0.982835416669,0.000427952137,0.939713665709,0.003682678304,0.884841712163,0.010837898287,0.797661660205,0.02981954436
2.4,26,0.983346120536,0.000639417481,0.942358781046,0.004334231263,0.891037323188,0.012001010211,0.809191756877,0.031661232358
2.4,27,0.981942030457,0.000404495124,0.936776610923,0.003881630525,0.879857984399,0.011949793602,0.789042070456,0.033602656225
2.4,28,0.981662843671,0.00054670994,0.936770153283,0.004354699852,0.881187705415,0.012265497641,0.792306190242,0.032853919707
2.4,29,0.980739896853,0.000601475195,0.933465029974,0.00504547568,0.874891044376,0.014373920048,0.782250067657,0.038160757662
2.4,30,0.981217338617,0.000661801577,0.93514247674,0.005225888199,0.877975623127,0.01462945307,0.787437466618,0.038065483174
2.4,31,0.982973244277,0.000523256187,0.940410643515,0.003694917073,0.886110517752,0.010563103156,0.800284399446,0.028156894289
2.8,0,0.985937196987,0.000306667875,0.950435092383,0.002880977635,0.905005628288,0.008690534559,0.832322758886,0.024554986593
2.8,1,0.986347023707,0.000444374429,0.951708027756,0.002956690996,0.906882902553,0.008451578067,0.835294600524,0.022826688837
2.8,2,0.987272821645,0.000258278383,0.954937774811,0.00253900734,0.913480459781,0.007787579617,0.846665358934,0.022436210035
2.8,3,0.986619459788,0.000294171184,0.952451665536,0.002623836909,0.908080934871,0.007872974785,0.837531671395,0.021804018898
2.8,4,0.98545868027,0.000235197895,0.948335306973,0.002549261228,0.900587133437,0.008348860095,0.824164880985,0.024140910726
2.8,5,0.987304196957,0.0001753436,0.954193275319,0.002010462838,0.910265217404,0.00685075326,0.84088116261,0.020460425007
2.8,6,0.987997998054,0.000299217848,0.957400575522,0.002206301759,0.917597335898,0.006534944432,0.853747847852,0.018336222403
2.8,7,0.985959215941,0.000330366006,0.950656860212,0.002678568458,0.905767487472,0.007947201124,0.833452389829,0.022184207298
2.8,8,0.987744261016,0.0003003534,0.956528004421,0.002429040473,0.916026003015,0.007135322491,0.851094590637,0.019815475839
2.8,9,0.986914952289,0.000220247561,0.953164731082,0.002312297618,0.909022474873,0.007477885796,0.838981824528,0.021508080964
2.8,10,0.985696580629,0.000339640301,0.949658641405,0.003097427198,0.903811978507,0.009043242683,0.830281596517,0.025097284063
2.8,11,0.98542983591,0.000575168051,0.94864830007,0.004052556753,0.900553827572,0.01107778434,0.825662776635,0.028739069272
