lane,control_or_primary,k,mean_bin_purity,discrimination_ratio,bootstrap_ci_low,bootstrap_ci_high
within_beta,PRIMARY,3,0.267361111111,0.802083333333,0.215277777778,0.319444444444
within_beta,PRIMARY,5,0.29375,0.88125,0.252083333333,0.33546875
within_beta,PRIMARY,10,0.322916666667,0.96875,0.296848958333,0.35
across_beta,PRIMARY,3,0.350694444444,1.052083333333,0.295052083333,0.409809027778
across_beta,PRIMARY,5,0.358333333333,1.075,0.314583333333,0.4
across_beta,PRIMARY,10,0.336458333333,1.009375,0.30625,0.365625
within_beta,CTRL_META,3,0.3125,0.9375,0.267274305556,0.357638888889
within_beta,CTRL_META,5,0.314583333333,0.94375,0.281197916667,0.347916666667
within_beta,CTRL_META,10,0.309375,0.928125,0.2875,0.33125
across_beta,CTRL_META,3,0.385416666667,1.15625,0.322916666667,0.451475694444
across_beta,CTRL_META,5,0.370833333333,1.1125,0.329166666667,0.408333333333
across_beta,CTRL_META,10,0.378125,1.134375,0.346875,0.409375
within_beta,CTRL_RAW,3,0.288194444444,0.864583333333,0.239583333333,0.336805555556
within_beta,CTRL_RAW,5,0.297916666667,0.89375,0.258333333333,0.333333333333
within_beta,CTRL_RAW,10,0.292708333333,0.878125,0.269791666667,0.315651041667
across_beta,CTRL_RAW,3,0.371527777778,1.114583333333,0.322829861111,0.427083333333
across_beta,CTRL_RAW,5,0.333333333333,1,0.2875,0.377083333333
across_beta,CTRL_RAW,10,0.361458333333,1.084375,0.336458333333,0.384375
within_beta,CTRL_RAND,3,0.295138888889,0.885416666667,0.243055555556,0.350694444444
within_beta,CTRL_RAND,5,0.295833333333,0.8875,0.258333333333,0.333333333333
within_beta,CTRL_RAND,10,0.303125,0.909375,0.284375,0.325
across_beta,CTRL_RAND,3,0.357638888889,1.072916666667,0.305555555556,0.409722222222
across_beta,CTRL_RAND,5,0.333333333333,1,0.295833333333,0.370833333333
across_beta,CTRL_RAND,10,0.327083333333,0.98125,0.302057291667,0.353125
within_beta,CTRL_RAND_STRAT,3,0.305555555556,0.916666666667,0.260329861111,0.357638888889
within_beta,CTRL_RAND_STRAT,5,0.314583333333,0.94375,0.270833333333,0.352083333333
within_beta,CTRL_RAND_STRAT,10,0.321875,0.965625,0.296875,0.346875
across_beta,CTRL_RAND_STRAT,3,0.402777777778,1.208333333333,0.347222222222,0.465277777778
across_beta,CTRL_RAND_STRAT,5,0.377083333333,1.13125,0.3375,0.422916666667
across_beta,CTRL_RAND_STRAT,10,0.378125,1.134375,0.346875,0.405208333333
within_beta,CTRL_GAUGE_RAND,3,0.267361111111,0.802083333333,0.21875,0.319444444444
within_beta,CTRL_GAUGE_RAND,5,0.29375,0.88125,0.252083333333,0.339583333333
within_beta,CTRL_GAUGE_RAND,10,0.322916666667,0.96875,0.29375,0.348958333333
across_beta,CTRL_GAUGE_RAND,3,0.350694444444,1.052083333333,0.295138888889,0.413194444444
across_beta,CTRL_GAUGE_RAND,5,0.358333333333,1.075,0.31875,0.397916666667
across_beta,CTRL_GAUGE_RAND,10,0.336458333333,1.009375,0.30625,0.36875
within_beta,CTRL_PERM,3,0.312784722222,0.938354166667,0.311371006944,0.314452430556
within_beta,CTRL_PERM,5,0.313002083333,0.93900625,0.312064427083,0.31397578125
within_beta,CTRL_PERM,10,0.312526041667,0.937578125,0.311887473958,0.3132825
across_beta,CTRL_PERM,3,0.326065972222,0.978197916667,0.324263802083,0.327663368056
across_beta,CTRL_PERM,5,0.325870833333,0.9776125,0.324645625,0.327110208333
across_beta,CTRL_PERM,10,0.326421875,0.979265625,0.325568619792,0.327236614583
